productname	formulation	route	drugsubstance	strength	database	productcode
Fluoxetine 20mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Fluoxetine hydrochloride	20mg	Gold	60138
Fluoxetine 20mg dispersible tablets sugar free	Dispersible tablet	Oral	Fluoxetine hydrochloride	20mg	Gold	60534
Fluoxetine 20mg/5ml oral solution (Kent Pharmaceuticals Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	60619
Fluoxetine 20mg capsules (Alliance Healthcare (Distribution) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	60962
Prozac 20mg capsules (Mawdsley-Brooks & Company Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	61335
Fluoxetine 20mg capsules (Phoenix Healthcare Distribution Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	62155
Olena 20mg dispersible tablets (AMCo)	Dispersible tablet	Oral	Fluoxetine hydrochloride	20mg	Gold	62335
Fluoxetine 20mg capsules (Morningside Healthcare Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	66744
Fluoxetine 20mg capsules (Waymade Healthcare Plc)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	67092
Fluoxetine 10mg capsules	Capsule	Oral	Fluoxetine hydrochloride	10mg	Gold	67431
Fluoxetine 30mg capsules	Capsule	Oral	Fluoxetine hydrochloride	30mg	Gold	67496
Fluoxetine 40mg capsules	Capsule	Oral	Fluoxetine hydrochloride	40mg	Gold	67562
Fluoxetine 20mg capsules (Dr Reddy's Laboratories (UK) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	67736
Prozac 20mg capsules (DE Pharmaceuticals)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	67758
Fluoxetine 20mg capsules (Strides Shasun (UK) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	67769
Fluoxetine 60mg capsules (Kent Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	60mg	Gold	67888
Fluoxetine 20mg/5ml oral solution sugar free (Actavis UK Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	68266
Fluoxetine 20mg capsules (Medreich Plc)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	69525
Prozac 20mg capsules (Necessity Supplies Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	69542
Fluoxetine 20mg/5ml oral solution sugar free (Morningside Healthcare Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	69685
Fluoxetine 10mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	10mg	Gold	69941
Fluoxetine 20mg capsules (Accord Healthcare Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	71852
Fluoxetine 20mg/5ml oral solution (Pinewood Healthcare)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	73414
Fluoxetine 2mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	400microgram/1ml	Gold	74886
Fluoxetine 40mg capsules (Alliance Healthcare (Distribution) Ltd)	Capsule	Oral	Fluoxetine hydrochloride	40mg	Gold	75068
Fluoxetine 60mg capsules (Advanz Pharma)	Capsule	Oral	Fluoxetine hydrochloride	60mg	Gold	75247
Fluoxetine 2.5mg/5ml oral solution	Oral solution	Oral	Fluoxetine hydrochloride	500microgram/1ml	Gold	75645
Fluoxetine 20mg capsules (Genesis Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	75688
Fluoxetine 20mg capsules (Almus Pharmaceuticals Ltd)	Capsule	Oral	Fluoxetine hydrochloride	20mg	Gold	75799
Prozac 20mg/5ml liquid (Necessity Supplies Ltd)	Oral solution	Oral	Fluoxetine hydrochloride	4mg/1ml	Gold	75943
Faverin 50mg tablets	Tablet	Oral	Fluvoxamine maleate	50.000mg	Aurum	563341000033115
Fluvoxamine 50mg tablets	Tablet	Oral	Fluvoxamine maleate	50.000mg	Aurum	595541000033113
Fluvoxamine 100mg tablets	Tablet	Oral	Fluvoxamine maleate	100.000mg	Aurum	592841000033116
Faverin 100mg tablets	Tablet	Oral	Fluvoxamine maleate	100.000mg	Aurum	561941000033115
Fluvoxamine 100mg tablets	Tablet	Oral	Fluvoxamine maleate	100mg	Gold	2290
Fluvoxamine 50mg tablets	Tablet	Oral	Fluvoxamine maleate	50mg	Gold	2880
Faverin 50mg tablets (Mylan)	Tablet	Oral	Fluvoxamine maleate	50mg	Gold	2897
Faverin 100mg tablets (Mylan)	Tablet	Oral	Fluvoxamine maleate	100mg	Gold	12123
Fluvoxamine 100mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Fluvoxamine maleate	100mg	Gold	43518
Fluvoxamine 100mg tablets (Actavis UK Ltd)	Tablet	Oral	Fluvoxamine maleate	100mg	Gold	44861
Fluvoxamine 100mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Fluvoxamine maleate	100mg	Gold	48045
Imipramine 10mg tablets	Tablet	Oral	Imipramine hydrochloride	10.000mg	Aurum	755541000033119
Imipramine 25mg tablets	Tablet	Oral	Imipramine hydrochloride	25.000mg	Aurum	754241000033115
Tofranil 25mg tablets	Tablet	Oral	Imipramine hydrochloride	25.000mg	Aurum	1450841000033117
Surmontil 50mg capsules	Capsule	Oral	Trimipramine maleate	50.000mg	Aurum	1389441000033112
Trimipramine 50mg capsules	Capsule	Oral	Trimipramine maleate	50.000mg	Aurum	1454741000033115
Trimipramine 10mg tablets	Tablet	Oral	Trimipramine maleate	10.000mg	Aurum	1471341000033116
Surmontil 10mg tablets	Tablet	Oral	Trimipramine maleate	10.000mg	Aurum	1396741000033112
Surmontil 25mg tablets	Tablet	Oral	Trimipramine maleate	25.000mg	Aurum	1396841000033119
Trimipramine 25mg tablets	Tablet	Oral	Trimipramine maleate	25.000mg	Aurum	1471441000033110
Imipramine 25mg/5ml oral solution sugar free	Oral solution	Oral	Imipramine hydrochloride	5.000mg/1.000ml	Aurum	5454141000033118
Imipramine 25mg/5ml oral solution	Oral solution	Oral	Imipramine hydrochloride	5.000mg/1.000ml	Aurum	5328741000033117
Tofranil 25mg/5ml syrup	Oral solution	Oral	Imipramine hydrochloride	5.000mg/1.000ml	Aurum	1449441000033113
Imipramine 10mg tablets	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	1310
Imipramine 25mg tablets	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	1809
Trimipramine 25mg tablets	Tablet	Oral	Trimipramine maleate	25mg	Gold	2039
Surmontil 50mg capsules (Sanofi)	Capsule	Oral	Trimipramine maleate	50mg	Gold	2531
Surmontil 25mg tablets (Sanofi)	Tablet	Oral	Trimipramine maleate	25mg	Gold	2532
Tofranil 10mg Tablet (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	2579
Trimipramine 50mg capsules	Capsule	Oral	Trimipramine maleate	50mg	Gold	3196
Trimipramine 10mg tablets	Tablet	Oral	Trimipramine maleate	10mg	Gold	4310
Tofranil 25mg/5ml syrup (Novartis Pharmaceuticals UK Ltd)	Oral solution	Oral	Imipramine hydrochloride	5mg/1ml	Gold	4404
Tofranil 25mg tablets (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	7910
Imipramine 25mg/5ml oral solution	Oral solution	Oral	Imipramine hydrochloride	5mg/1ml	Gold	8055
Surmontil 10mg tablets (Sanofi)	Tablet	Oral	Trimipramine maleate	10mg	Gold	8928
Imipramine 10mg tablets (Teva UK Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	32863
Praminil 10mg Tablet (DDSA Pharmaceuticals Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	33074
Imipramine 10mg tablets (Actavis UK Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	34222
Imipramine 25mg tablets (Actavis UK Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	34355
Imipramine 25mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	34813
Imipramine 25mg Tablet (C P Pharmaceuticals Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	34872
Imipramine 25mg tablets (Teva UK Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	41408
Imipramine 10mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	41681
Trimipramine 10mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Trimipramine maleate	10mg	Gold	42228
Imipramine 25mg/5ml oral solution sugar free	Oral solution	Oral	Imipramine hydrochloride	5mg/1ml	Gold	42247
Trimipramine 25mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Trimipramine maleate	25mg	Gold	45226
Trimipramine 10mg tablets (Phoenix Healthcare Distribution Ltd)	Tablet	Oral	Trimipramine maleate	10mg	Gold	53808
Tofranil 25mg tablets (Lexon (UK) Ltd)	Tablet	Oral	Imipramine hydrochloride	25mg	Gold	56501
Trimipramine 25mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Trimipramine maleate	25mg	Gold	57978
Trimipramine 50mg/5ml oral solution	Oral solution	Oral	Trimipramine maleate	10mg/1ml	Gold	65213
Trimipramine 50mg capsules (A A H Pharmaceuticals Ltd)	Capsule	Oral	Trimipramine maleate	50mg	Gold	65445
Trimipramine 25mg/5ml oral suspension	Oral suspension	Oral	Trimipramine maleate	5mg/1ml	Gold	66493
Trimipramine 50mg capsules (Waymade Healthcare Plc)	Capsule	Oral	Trimipramine maleate	50mg	Gold	66919
Imipramine 10mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	67935
Imipramine 10mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	70287
Imipramine 10mg tablets (DE Pharmaceuticals)	Tablet	Oral	Imipramine hydrochloride	10mg	Gold	71253
Isocarboxazid 10mg tablets	Tablet	Oral	Isocarboxazid	10.000mg	Aurum	787141000033110
Isocarboxazid 10mg tablets	Tablet	Oral	Isocarboxazid	10mg	Gold	12207
Marplan 10mg Tablet (Cambridge Laboratories Ltd)	Tablet	Oral	Isocarboxazid	10mg	Gold	12503
Isocarboxazid 10mg Tablet (Cambridge Laboratories Ltd)	Tablet	Oral	Isocarboxazid	10mg	Gold	41731
Gamanil 70mg tablets	Tablet	Oral	Lofepramine hydrochloride	70.000mg	Aurum	626241000033115
Feprapax 70mg tablets	Tablet	Oral	Lofepramine hydrochloride	70.000mg	Aurum	2215541000033118
Lofepramine 70mg tablets	Tablet	Oral	Lofepramine hydrochloride	70.000mg	Aurum	850141000033116
Lofepramine 70mg/5ml oral solution	Oral solution	Oral	Lofepramine hydrochloride	14.000mg/1.000ml	Aurum	5996641000033111
Lofepramine 70mg/5ml oral suspension	Oral suspension	Oral	Lofepramine hydrochloride	14.000mg/1.000ml	Aurum	5996741000033119
Lofepramine 70mg/5ml oral suspension sugar free	Oral suspension	Oral	Lofepramine hydrochloride	14.000mg/1.000ml	Aurum	849241000033115
Lomont 70mg/5ml oral suspension	Oral suspension	Oral	Lofepramine hydrochloride	14.000mg/1.000ml	Aurum	2078841000033114
Lofepramine 70mg tablets	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	114
Gamanil 70mg tablets (Merck Serono Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	2093
Lofepramine 70mg/5ml oral suspension sugar free	Oral suspension	Oral	Lofepramine hydrochloride	14mg/1ml	Gold	4218
Lomont 70mg/5ml oral suspension (Rosemont Pharmaceuticals Ltd)	Oral suspension	Oral	Lofepramine hydrochloride	14mg/1ml	Gold	25444
Lofepramine 70mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	34046
Lofepramine 70mg tablets (IVAX Pharmaceuticals UK Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	34578
Lofepramine 70mg tablets (Sterwin Medicines)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	34672
Lofepramine 70mg tablets (Accord Healthcare Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	34950
Lofepramine 70mg Tablet (Teva UK Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	41627
Lofepramine 70mg/5ml Oral suspension (Rosemont Pharmaceuticals Ltd)	Oral suspension	Oral	Lofepramine hydrochloride	14mg/1ml	Gold	43534
Lofepramine 70mg/5ml oral solution	Oral solution	Oral	Lofepramine hydrochloride	14mg/1ml	Gold	56229
Lofepramine 70mg tablets (Sandoz Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	56703
Feprapax 70mg tablets (Ashbourne Pharmaceuticals Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	58450
Lofepramine 70mg tablets (Teva UK Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	60591
Lofepramine 70mg tablets (DE Pharmaceuticals)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	66100
Lofepramine 70mg tablets (Mylan)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	67742
Lofepramine 70mg tablets (Kent Pharmaceuticals Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	68657
Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	71067
Lofepramine 70mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Lofepramine hydrochloride	70mg	Gold	74586
Maprotiline 10mg tablets	Tablet	Oral	Maprotiline hydrochloride	10.000mg	Aurum	870441000033114
Ludiomil 10mg tablets	Tablet	Oral	Maprotiline hydrochloride	10.000mg	Aurum	853441000033119
Ludiomil 25mg tablets	Tablet	Oral	Maprotiline hydrochloride	25.000mg	Aurum	853541000033118
Maprotiline 25mg tablets	Tablet	Oral	Maprotiline hydrochloride	25.000mg	Aurum	870741000033119
Maprotiline 50mg tablets	Tablet	Oral	Maprotiline hydrochloride	50.000mg	Aurum	870841000033112
Ludiomil 50mg tablets	Tablet	Oral	Maprotiline hydrochloride	50.000mg	Aurum	853641000033117
Ludiomil 75mg tablets	Tablet	Oral	Maprotiline hydrochloride	75.000mg	Aurum	853741000033114
Maprotiline 75mg tablets	Tablet	Oral	Maprotiline hydrochloride	75.000mg	Aurum	870941000033116
Maprotiline 25mg tablets	Tablet	Oral	Maprotiline hydrochloride	25mg	Gold	8549
Ludiomil 25mg tablets (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Maprotiline hydrochloride	25mg	Gold	10645
Maprotiline 50mg tablets	Tablet	Oral	Maprotiline hydrochloride	50mg	Gold	12100
Ludiomil 10mg tablets (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Maprotiline hydrochloride	10mg	Gold	12222
Ludiomil 75mg tablets (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Maprotiline hydrochloride	75mg	Gold	13558
Ludiomil 50mg tablets (Novartis Pharmaceuticals UK Ltd)	Tablet	Oral	Maprotiline hydrochloride	50mg	Gold	14410
Maprotiline 10mg tablets	Tablet	Oral	Maprotiline hydrochloride	10mg	Gold	16727
Maprotiline 75mg tablets	Tablet	Oral	Maprotiline hydrochloride	75mg	Gold	20405
Mianserin 10mg tablets	Tablet	Oral	Mianserin hydrochloride	10.000mg	Aurum	917541000033110
Mianserin 20mg tablets	Tablet	Oral	Mianserin hydrochloride	20.000mg	Aurum	917641000033111
Mianserin 30mg tablets	Tablet	Oral	Mianserin hydrochloride	30.000mg	Aurum	917741000033119
Mianserin 10mg tablets	Tablet	Oral	Mianserin hydrochloride	10mg	Gold	3083
Mianserin 20mg tablets	Tablet	Oral	Mianserin hydrochloride	20mg	Gold	4329
Mianserin 30mg tablets	Tablet	Oral	Mianserin hydrochloride	30mg	Gold	6255
Bolvidon 10mg Tablet (Organon Laboratories Ltd)	Tablet	Oral	Mianserin hydrochloride	10mg	Gold	7468
Bolvidon 20mg Tablet (Organon Laboratories Ltd)	Tablet	Oral	Mianserin hydrochloride	20mg	Gold	8144
Bolvidon 30mg Tablet (Organon Laboratories Ltd)	Tablet	Oral	Mianserin hydrochloride	30mg	Gold	8585
Norval 20mg Tablet (Bencard)	Tablet	Oral	Mianserin hydrochloride	20mg	Gold	11956
Norval 30mg Tablet (Bencard)	Tablet	Oral	Mianserin hydrochloride	30mg	Gold	12192
Norval 10mg Tablet (Bencard)	Tablet	Oral	Mianserin hydrochloride	10mg	Gold	12368
Mianserin 20mg Tablet (Berk Pharmaceuticals Ltd)	Tablet	Oral	Mianserin hydrochloride	20mg	Gold	47363
Mirtazapine 30mg tablets	Tablet	Oral	Mirtazapine	30.000mg	Aurum	919641000033115
Zispin 30mg tablets	Tablet	Oral	Mirtazapine	30.000mg	Aurum	1558041000033118
Mirtazapine 15mg tablets	Tablet	Oral	Mirtazapine	15.000mg	Aurum	3256741000033118
Mirtazapine 15mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	15.000mg	Aurum	3029641000033112
Zispin SolTab 15mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	15.000mg	Aurum	3029841000033113
Zispin SolTab 30mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	30.000mg	Aurum	3078541000033115
Mirtazapine 30mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	30.000mg	Aurum	2974841000033114
Mirtazapine 45mg tablets	Tablet	Oral	Mirtazapine	45.000mg	Aurum	3256841000033111
Mirtazapine 45mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	45.000mg	Aurum	3029741000033115
Zispin SolTab 45mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	45.000mg	Aurum	3029941000033117
Mirtazapine 15mg/ml oral solution sugar free	Oral solution	Oral	Mirtazapine	15.000mg/1.000ml	Aurum	3058741000033113
Mirtazapine 30mg tablets	Tablet	Oral	Mirtazapine	30mg	Gold	742
Zispin 30mg tablets (Organon Laboratories Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	4726
Mirtazapine 15mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	6421
Mirtazapine 45mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	6481
Mirtazapine 30mg orodispersible tablets	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	6488
Mirtazapine 15mg tablets	Tablet	Oral	Mirtazapine	15mg	Gold	6795
Zispin SolTab 15mg orodispersible tablets (Merck Sharp & Dohme Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	6846
Mirtazapine 45mg tablets	Tablet	Oral	Mirtazapine	45mg	Gold	6854
Zispin SolTab 30mg orodispersible tablets (Merck Sharp & Dohme Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	10083
Zispin SolTab 45mg orodispersible tablets (Merck Sharp & Dohme Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	15268
Mirtazapine 15mg/ml oral solution sugar free	Oral solution	Oral	Mirtazapine	15mg/1ml	Gold	16154
Mirtazapine 45mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	45mg	Gold	33337
Mirtazapine 30mg tablets (Actavis UK Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	40160
Mirtazapine 45mg orodispersible tablets (Teva UK Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	43234
Mirtazapine 45mg orodispersible tablets (A A H Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	43235
Mirtazapine 45mg orodispersible tablets (Accord Healthcare Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	43236
Mirtazapine 15mg orodispersible tablets (Teva UK Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	43237
Mirtazapine 15mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	43239
Mirtazapine 15mg orodispersible tablets (Aurobindo Pharma Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	43241
Mirtazapine 15mg tablets (Genus Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	43242
Mirtazapine 15mg orodispersible tablets (Genus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	43246
Mirtazapine 45mg orodispersible tablets (Genus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	43247
Mirtazapine 15mg orodispersible tablets (Focus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	43248
Mirtazapine 30mg orodispersible tablets (A A H Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	43250
Mirtazapine 15mg orodispersible tablets (A A H Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	43253
Mirtazapine 45mg orodispersible tablets (Focus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	43256
Mirtazapine 15mg tablets (Teva UK Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	43257
Mirtazapine 15mg tablets (Arrow Generics Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	46668
Mirtazapine 30mg tablets (A A H Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	47945
Mirtazapine 15mg/ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)	Oral solution	Oral	Mirtazapine	15mg/1ml	Gold	47966
Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	48185
Mirtazapine 15mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	48698
Mirtazapine 45mg orodispersible tablets sugar free	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	49820
Zispin SolTab 15mg orodispersible tablets (Necessity Supplies Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	50892
Mirtazapine 15mg/ml oral solution sugar free (A A H Pharmaceuticals Ltd)	Oral solution	Oral	Mirtazapine	15mg/1ml	Gold	53321
Zispin SolTab 30mg orodispersible tablets (Necessity Supplies Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	53543
Mirtazapine 30mg orodispersible tablets (Accord Healthcare Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	53648
Mirtazapine 15mg tablets (Actavis UK Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	53699
Mirtazapine 15mg orodispersible tablets sugar free (Sandoz Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	54012
Mirtazapine 15mg tablets (Medreich Plc)	Tablet	Oral	Mirtazapine	15mg	Gold	54342
Mirtazapine 15mg tablets (Pfizer Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	54644
Mirtazapine 30mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	54792
Mirtazapine 15mg orodispersible tablets (Mylan)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	55482
Mirtazapine 30mg tablets (Phoenix Healthcare Distribution Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	56209
Mirtazapine 15mg orodispersible tablets (Pfizer Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	58291
Mirtazapine 45mg tablets (Actavis UK Ltd)	Tablet	Oral	Mirtazapine	45mg	Gold	58625
Mirtazapine 30mg orodispersible tablets (Phoenix Healthcare Distribution Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	59694
Mirtazapine 15mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	59953
Mirtazapine 45mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	45mg	Gold	59954
Zispin SolTab 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	60370
Mirtazapine 30mg tablets (DE Pharmaceuticals)	Tablet	Oral	Mirtazapine	30mg	Gold	60538
Mirtazapine 15mg/ml oral solution sugar free (DE Pharmaceuticals)	Oral solution	Oral	Mirtazapine	15mg/1ml	Gold	61547
Mirtazapine 15mg orodispersible tablets (Consilient Health Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	61856
Mirtazapine 30mg tablets (Teva UK Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	63403
Mirtazapine 15mg orodispersible tablets (Accord Healthcare Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	64101
Mirtazapine 45mg orodispersible tablets (Mylan)	Orodispersible tablet	Oral	Mirtazapine	45mg	Gold	64139
Mirtazapine 45mg tablets (Teva UK Ltd)	Tablet	Oral	Mirtazapine	45mg	Gold	64223
Mirtazapine 15mg orodispersible tablets (Sigma Pharmaceuticals Plc)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	65555
Mirtazapine 15mg tablets (Alliance Healthcare (Distribution) Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	66183
Mirtazapine 15mg orodispersible tablets (Bluefish Pharmaceuticals AB)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	66580
Mirtazapine 15mg tablets (Aurobindo Pharma Ltd)	Tablet	Oral	Mirtazapine	15mg	Gold	66752
Zispin 30mg tablets (Waymade Healthcare Plc)	Tablet	Oral	Mirtazapine	30mg	Gold	67272
Mirtazapine 30mg orodispersible tablets (Almus Pharmaceuticals Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	68052
Mirtazapine 2mg capsules	Capsule	Oral	Mirtazapine	2mg	Gold	68544
Mirtazapine 15mg orodispersible tablets (Mawdsley-Brooks & Company Ltd)	Orodispersible tablet	Oral	Mirtazapine	15mg	Gold	68680
Mirtazapine 30mg tablets (PLIVA Pharma Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	68933
Mirtazapine 30mg tablets (Almus Pharmaceuticals Ltd)	Tablet	Oral	Mirtazapine	30mg	Gold	69005
Mirtazapine 30mg orodispersible tablets (Aurobindo Pharma Ltd)	Orodispersible tablet	Oral	Mirtazapine	30mg	Gold	69420
Mirtazapine 30mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Mirtazapine	30mg	Gold	71543
Mirtazapine 15mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Mirtazapine	15mg	Gold	74557
Moclobemide 150mg tablets	Tablet	Oral	Moclobemide	150.000mg	Aurum	937241000033118
Manerix 150mg tablets	Tablet	Oral	Moclobemide	150.000mg	Aurum	868841000033115
Manerix 300mg tablets	Tablet	Oral	Moclobemide	300.000mg	Aurum	868941000033111
Moclobemide 300mg tablets	Tablet	Oral	Moclobemide	300.000mg	Aurum	937841000033119
Moclobemide 150mg tablets	Tablet	Oral	Moclobemide	150mg	Gold	2883
Moclobemide 300mg tablets	Tablet	Oral	Moclobemide	300mg	Gold	5187
Manerix 300mg tablets (Meda Pharmaceuticals Ltd)	Tablet	Oral	Moclobemide	300mg	Gold	5832
Manerix 150mg tablets (Meda Pharmaceuticals Ltd)	Tablet	Oral	Moclobemide	150mg	Gold	9206
Moclobemide 150mg tablets (Teva UK Ltd)	Tablet	Oral	Moclobemide	150mg	Gold	41747
Moclobemide 150mg tablets (Sigma Pharmaceuticals Plc)	Tablet	Oral	Moclobemide	150mg	Gold	67305
