medcode	readcode	readterm	condition	score
54747	B300600	malignant neoplasm of parietal bone	Any malignancy	2
54749	BB81H00	[m]papillary mucinous cystadenocarcinoma	Any malignancy	2
5475	7261011	cyclodialysis	Renal disease	2
54790	B826200	carcinoma in situ of skin of lower arm	Any malignancy	2
54822	H352000	budgerigar-fanciers' lung	Chronic pulmonary disease	1
54856	C101100	"diabetes mellitus, adult onset, with ketoacidosis"	Diabetes (uncomplicated)	1
54865	G74y000	embolism and/or thrombosis of the common iliac artery	Peripheral vascular disease	1
54874	BB85100	[m]metastatic signet ring cell carcinoma	Metastatic solid tumour	4
54893	H582.00	compensatory emphysema	Chronic pulmonary disease	1
54899	C109F11	type ii diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage	2
54946	9OJ9.00	asthma monitoring deleted	Chronic pulmonary disease	1
54956	B50z.00	malignant neoplasm of eye nos	Any malignancy	2
54990	TB00100	"kidney transplant with complication, without blame"	Renal disease	2
55015	B05z.00	malignant neoplasm of mouth nos	Any malignancy	2
55019	B11y.00	malignant neoplasm of other specified site of stomach	Any malignancy	2
55023	66h..00	dementia monitoring	Dementia	1
55066	B062.00	malignant neoplasm of tonsillar pillar	Any malignancy	2
55074	7A28200	percutaneous transluminal angioplasty of vertebral artery	Peripheral vascular disease	1
55075	C109411	type ii diabetes mellitus with ulcer	Diabetes with end-organ damage	2
55090	B58y100	secondary malignant neoplasm of uterus	Metastatic solid tumour	4
55096	B582z00	secondary malignant neoplasm of skin nos	Metastatic solid tumour	4
55098	B550000	malignant neoplasm of head nos	Any malignancy	2
55100	K00y300	acute diffuse nephritis	Renal disease	2
55101	B553z00	malignant neoplasm of pelvis nos	Any malignancy	2
55116	BBFz.00	[m]soft tissue tumour or sarcoma nos	Any malignancy	2
5512	F230100	cerebral palsy with spastic diplegia	Hemiplegia or paraplegia	2
55123	66AO.00	date diabetic treatment stopp.	Diabetes (uncomplicated)	1
55137	G311011	mi - myocardial infarction aborted	Myocardial infarction	1
5515	9N1d.00	seen in asthma clinic	Chronic pulmonary disease	1
5519	H563.12	cryptogenic fibrosing alveolitis	Chronic pulmonary disease	1
5521	J130200	acute peptic ulcer with perforation	Peptic ulcer disease	1
55222	ZS7C500	language disorder of dementia	Dementia	1
55239	C10EQ00	type 1 diabetes mellitus with gastroparesis	Diabetes with end-organ damage	2
55246	B20z.00	malignant neoplasm of accessory sinus nos	Any malignancy	2
55268	BBK2100	[m]myosarcoma	Any malignancy	2
55292	B326z00	malignant melanoma of upper limb or shoulder nos	Any malignancy	2
55303	B614100	"hodgkin's nodular sclerosis of head, face and neck"	Any malignancy	2
55313	Eu01y00	[x]other vascular dementia	Dementia	1
55350	7627200	oversew of blood vessel of duodenal ulcer	Peptic ulcer disease	1
55351	7P24200	delivery of rehabilitation for stroke	Cerebrovascular disease	1
55374	B215.00	malignant neoplasm of epiglottis nos	Any malignancy	2
55389	K0A0300	"acut neph syn, diffuse mesangial prolifrative glomnephritis"	Renal disease	2
55394	7A45D00	emerg replace aneurysm pop artery by pop/fem art anastomosis	Peripheral vascular disease	1
55402	7A19200	open embolectomy of bifurcation of aorta	Peripheral vascular disease	1
55431	L180X00	"pre-existing diabetes mellitus, unspecified"	Diabetes (uncomplicated)	1
55434	B116.00	malignant neoplasm of greater curve of stomach unspecified	Any malignancy	2
55445	7A14y00	other replacement of aneurysmal segment of aorta os	Peripheral vascular disease	1
55454	J615y00	portal cirrhosis unspecified	Mild liver disease	1
55463	B561400	secondary and unspec malig neop post mediastinal lymph nodes	Metastatic solid tumour	4
55467	E004200	arteriosclerotic dementia with paranoia	Dementia	1
55468	BB5R600	"[m]mucocarcinoid tumour, malignant"	Any malignancy	2
55476	7A45000	emerg replace aneurysm fem art by fem/pop art anast c prosth	Peripheral vascular disease	1
55550	B331100	malignant neoplasm of upper eyelid	Any malignancy	2
55552	H35yz00	other allergic alveolitis nos	Chronic pulmonary disease	1
55557	H4yy.00	other external agent causing respiratory condition	Chronic pulmonary disease	1
55588	Byu7300	"[x]malignant neoplasm of female genital organ, unspecified"	Any malignancy	2
55593	F233.11	congenital spastic foot	Hemiplegia or paraplegia	2
55595	B300700	malignant neoplasm of sphenoid bone	Any malignancy	2
5560	F23..12	infantile cerebral palsy	Hemiplegia or paraplegia	2
55601	F396600	myopathy due to scleroderma	Rheumatic disease	1
55602	G677300	occlusion and stenosis of cerebellar arteries	Cerebrovascular disease	1
55604	7A58.00	transluminal coil embolisation of aneurysm	Peripheral vascular disease	1
55630	B07y.00	malignant neoplasm of other specified site of nasopharynx	Any malignancy	2
55659	B14y.00	"malig neop other site rectum, rectosigmoid junction and anus"	Any malignancy	2
55670	B333200	malignant neoplasm of skin of eyebrow	Any malignancy	2
55741	BB5L200	[m]adenocarcinoma in situ in adenomatous polyp	Any malignancy	2
55758	H460z00	bronchitis and pneumonitis due to chemical fumes nos	Chronic pulmonary disease	1
55816	TJF7.00	adverse reaction to antiasthmatics	Chronic pulmonary disease	1
55825	7A12y00	other specified other bypass of bifurcation of aorta	Peripheral vascular disease	1
55838	Eu01111	[x]predominantly cortical dementia	Dementia	1
55842	C109200	non-insulin-dependent diabetes mellitus with neuro comps	Diabetes with end-organ damage	2
55881	B324000	malignant melanoma of scalp	Any malignancy	2
55933	7627z00	operation on duodenal ulcer nos	Peptic ulcer disease	1
55946	B574000	secondary malignant neoplasm of duodenum	Metastatic solid tumour	4
55947	BBJ7.00	[m]pleomorphic liposarcoma	Any malignancy	2
55953	B300400	malignant neoplasm of occipital bone	Any malignancy	2
55962	A700.00	viral hepatitis a with coma	Moderate or severe liver disease	3
56005	7627y00	other specified operation on duodenal ulcer	Peptic ulcer disease	1
56007	G601.00	subarachnoid haemorrhage from carotid siphon and bifurcation	Cerebrovascular disease	1
5602	G64z.12	cerebellar infarction	Cerebrovascular disease	1
56041	BBj1.00	"[m]hodgkin's disease, lymphocytic predominance"	Any malignancy	2
56077	B801200	carcinoma in situ of lower 1/3 oesophagus	Any malignancy	2
56121	Byu4300	"[x]malignant neoplasm of skin, unspecified"	Any malignancy	2
56126	Q312.00	perinatal interstitial emphysema and related conditions	Chronic pulmonary disease	1
56200	P72z100	congenital aneurysm of aorta	Peripheral vascular disease	1
56202	Nyu1G00	"[x]seropositive rheumatoid arthritis, unspecified"	Rheumatic disease	1
56268	C109D11	type ii diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)	1
5627	H330011	hay fever with asthma	Chronic pulmonary disease	1
56279	L440.12	stroke in the puerperium	Cerebrovascular disease	1
56288	F10..00	cerebral degenerations usually manifest in childhood	Dementia	1
56345	B57y.00	secondary malignant neoplasm of other digestive organ	Metastatic solid tumour	4
56355	B066.00	malignant neoplasm of lateral wall of oropharynx	Any malignancy	2
5637	B53..00	malignant neoplasm of thyroid gland	Any malignancy	2
56374	B825800	carcinoma in situ of perianal skin	Any malignancy	2
5638	J616000	primary biliary cirrhosis	Mild liver disease	1
5640	G70..00	atherosclerosis	Peripheral vascular disease	1
56427	P861.00	congenital bronchiectasis	Chronic pulmonary disease	1
56429	P76z.00	peripheral vascular system anomaly nos	Peripheral vascular disease	1
56448	C108A00	insulin-dependent diabetes without complication	Diabetes (uncomplicated)	1
56458	8HHM.00	ref to multidisciplinary stroke function improvement service	Cerebrovascular disease	1
56490	B52z.00	malignant neoplasm of nervous system nos	Any malignancy	2
56495	7A11100	replace aneurysm bifurc aorta by anast aorta to femoral art	Peripheral vascular disease	1
5651	F11z.00	cerebral degeneration nos	Dementia	1
56510	7A11300	replace aneurysm bifurc aorta by anast aorta to iliac artery	Peripheral vascular disease	1
56513	B307000	malignant neoplasm of femur	Any malignancy	2
56554	B826000	carcinoma in situ of skin of shoulder	Any malignancy	2
56600	BB2A.11	[m]epidermoid carcinoma nos	Any malignancy	2
56640	B8yyz00	carcinoma in situ of other specified site nos	Any malignancy	2
56652	H356.00	maple bark strippers' lung	Chronic pulmonary disease	1
56676	BBJ5.00	[m]myxoid liposarcoma	Any malignancy	2
56694	B828500	"melanoma in situ of upper limb, including shoulder"	Any malignancy	2
56709	B04y.00	malignant neoplasm of other sites of floor of mouth	Any malignancy	2
56715	B34y.00	malignant neoplasm of other site of female breast	Any malignancy	2
56718	B500z00	malignant neoplasm of eyeball nos	Any malignancy	2
56760	7L1B.00	placement ambulatory apparatus compensation renal failure	Renal disease	2
56762	AD04.00	toxoplasma pneumonitis	Chronic pulmonary disease	1
56803	C107400	niddm with peripheral circulatory disorder	Diabetes with end-organ damage	2
56838	N04y011	caplan's syndrome	Rheumatic disease	1
56860	H320000	segmental bullous emphysema	Chronic pulmonary disease	1
56893	K0A3300	chron neph syn difus mesangial prolifrtiv glomerulonephritis	Renal disease	2
569	G64..12	infarction - cerebral	Cerebrovascular disease	1
56912	E004100	arteriosclerotic dementia with delirium	Dementia	1
56918	B1zy.00	malignant neoplasm other spec digestive tract and peritoneum	Any malignancy	2
56925	Byu4000	[x]malignant melanoma of other+unspecified parts of face	Any malignancy	2
56939	K08y000	hypokalaemic nephropathy	Renal disease	2
56954	B337200	malignant neoplasm of skin of knee	Any malignancy	2
56987	K01A.00	"nephrotic syndrome, dense deposit disease"	Renal disease	2
57010	Q312300	perinatal interstitial emphysema	Chronic pulmonary disease	1
5702	G73..11	peripheral ischaemic vascular disease	Peripheral vascular disease	1
57047	B544.00	malignant neoplasm of carotid body	Any malignancy	2
57072	K032500	other familial glomerulonephritis	Renal disease	2
5710	H3z..00	chronic obstructive airways disease nos	Chronic pulmonary disease	1
57135	G72y900	aneurysm of inferior mesenteric artery	Peripheral vascular disease	1
57168	K0A3200	chron nephritic syndrom difuse membranous glomerulonephritis	Renal disease	2
57177	SN5y100	malignant hypothermia due to anaesthetic	Any malignancy	2
57184	Byu4200	[x]oth malignant neoplasm/skin of oth+unspecfd parts of face	Any malignancy	2
57191	Byu8000	[x]malignant neoplasm/other specified male genital organs	Any malignancy	2
57225	B614000	"hodgkin's disease, nodular sclerosis of unspecified site"	Any malignancy	2
5723	N042200	rheumatoid nodule	Rheumatic disease	1
57235	B410000	malignant neoplasm of endocervical canal	Any malignancy	2
57248	B082.00	"malignant neoplasm aryepiglottic fold, hypopharyngeal aspect"	Any malignancy	2
57260	B322.00	malignant melanoma of ear and external auricular canal	Any malignancy	2
57278	C10F011	type ii diabetes mellitus with renal complications	Diabetes with end-organ damage	2
57284	B826100	carcinoma in situ of skin of upper arm	Any malignancy	2
57294	4M3..00	breslow depth staging for melanoma	Any malignancy	2
57315	G618.00	"intracerebral haemorrhage, multiple localized"	Cerebrovascular disease	1
57333	N030011	diabetic cheiropathy	Diabetes with end-organ damage	2
57336	BB16.00	"[m]epithelioma, malignant"	Any malignancy	2
57358	B825500	carcinoma in situ of skin of groin	Any malignancy	2
57389	93C4.00	patient consent given for addition to diabetic register	Diabetes (uncomplicated)	1
57422	BB5Vz00	[m]pituitary adenoma or carcinoma nos	Any malignancy	2
57427	B62y000	malignant lymphoma nos of unspecified site	Any malignancy	2
57442	B337.00	malignant neoplasm of skin of lower limb and hip	Any malignancy	2
57446	B335.00	"malignant neoplasm of skin of trunk, excluding scrotum"	Any malignancy	2
57450	B82y.00	carcinoma in situ of other specified sites of skin	Any malignancy	2
57481	ByuC300	[x]secondary malignant neoplasm/oth+unspc respiratory organs	Metastatic solid tumour	4
57482	B311200	malignant neoplasm of connective and soft tissue of fore-arm	Any malignancy	2
57495	G63..11	infarction - precerebral	Cerebrovascular disease	1
57505	BBK3200	[m]pleomorphic rhabdomyosarcoma	Any malignancy	2
57513	BB2C.11	"[m]epidermoid carcinoma, keratinising type"	Any malignancy	2
57527	G677100	occlusion and stenosis of anterior cerebral artery	Cerebrovascular disease	1
57544	BBm4.00	[m]true histiocytic lymphoma	Any malignancy	2
57550	B821.00	carcinoma in situ of skin of eyelid including canthus	Any malignancy	2
57568	K100100	chronic pyelonephritis with medullary necrosis	Renal disease	2
57614	F246z00	cauda equina syndrome nos	Hemiplegia or paraplegia	2
57621	C108D00	insulin dependent diabetes mellitus with nephropathy	Diabetes with end-organ damage	2
57667	H530200	gangrenous pneumonia	Chronic pulmonary disease	1
57675	N000100	libman-sacks disease	Rheumatic disease	1
57677	BBL8.00	[m]hepatoblastoma	Any malignancy	2
57680	BB2A.12	[m]spinous cell carcinoma	Any malignancy	2
57719	B41y100	malignant neoplasm of squamocolumnar junction of cervix	Any malignancy	2
57723	8HHy.00	referral to diabetic register	Diabetes (uncomplicated)	1
57727	ZV10014	[v]personal history of malignant neoplasm of large intestine	Any malignancy	2
57737	B62x100	lymphoepithelioid lymphoma	Any malignancy	2
57756	Byu7100	[x]malignant neoplasm/other specified female genital organs	Any malignancy	2
57783	Q417000	intracerebral (nontraumatic) haemorrhage of fet and newborn	Cerebrovascular disease	1
57784	K0C2.00	nephropathy induced by unspec drug medicament or biol subs	Renal disease	2
57796	BBN4.00	"[m]synovial sarcoma, biphasic type"	Any malignancy	2
57802	BB5S400	[m]alveolar adenocarcinoma	Any malignancy	2
57854	B553000	malignant neoplasm of inguinal region nos	Any malignancy	2
57866	B800300	carcinoma in situ of gums	Any malignancy	2
579	BBE1.00	[m]malignant melanoma nos	Any malignancy	2
57926	K013.12	steroid sensitive nephrotic syndrome	Renal disease	2
57958	J11y100	unspecified gastric ulcer with haemorrhage	Peptic ulcer disease	1
5798	H312000	chronic asthmatic bronchitis	Chronic pulmonary disease	1
57987	G234.00	hyperten heart&renal dis+both(congestv)heart and renal fail	Congestive heart failure	1
57988	B305000	malignant neoplasm of carpal bone - scaphoid	Any malignancy	2
58015	BBgQ.00	[m]malignant lymphomatous polyposis	Any malignancy	2
58016	B8yy200	carcinoma in situ of parathyroid gland	Any malignancy	2
58060	K0A1300	rpd prog neph syn df mesangial prolifratv glomerulonephritis	Renal disease	2
58061	B452.00	malignant neoplasm of labia minora	Any malignancy	2
58075	BBn1.11	"[m]plasmacytoma, benign"	Any malignancy	2
58082	B620800	nodular lymphoma of lymph nodes of multiple sites	Any malignancy	2
58088	B151400	malignant neoplasm of intrahepatic gall duct	Any malignancy	2
58092	7A46100	replace aneurysm pop art by pop/pop art anastom c prosth nec	Peripheral vascular disease	1
58094	B412.00	"malignant neoplasm, overlapping lesion of cervix uteri"	Any malignancy	2
58121	B014.00	malignant neoplasm of anterior 2/3 of tongue unspecified	Any malignancy	2
58124	B8y0.00	carcinoma in situ of eye	Any malignancy	2
58131	BB93.00	[m]comedocarcinoma nos	Any malignancy	2
58133	ZLD7500	discharge by diabetic liaison nurse	Diabetes (uncomplicated)	1
58164	K033.00	rapidly progressive nephritis unspecified	Renal disease	2
58177	ZV10015	[v]personal history of malignant neoplasm of liver	Any malignancy	2
58184	J615812	indian childhood cirrhosis	Mild liver disease	1
58196	H331100	intrinsic asthma with status asthmaticus	Chronic pulmonary disease	1
5842	B58..00	secondary malignant neoplasm of other specified sites	Metastatic solid tumour	4
58543	N044.12	nodular fibrositis of chronic rheumatic disease	Rheumatic disease	1
58576	F038.00	tropical spastic paraplegia	Hemiplegia or paraplegia	2
58588	A124300	"tuberculosis of lung, confirmed by unspecified means"	Chronic pulmonary disease	1
58601	B337100	malignant neoplasm of skin of thigh	Any malignancy	2
58604	C109611	type ii diabetes mellitus with retinopathy	Diabetes with end-organ damage	2
58630	J616z00	biliary cirrhosis nos	Mild liver disease	1
58639	8I57.00	patient held diabetic record declined	Diabetes (uncomplicated)	1
5867	173A.00	exercise induced asthma	Chronic pulmonary disease	1
58671	K0A5300	heredtry nephrpthy nec difus mesangial prolif glomnephrit	Renal disease	2
58683	N10y000	inflammatory spondylopathies in diseases ec	Rheumatic disease	1
58684	B615200	hodgkin's mixed cellularity of intrathoracic lymph nodes	Any malignancy	2
58692	B561500	secondary and unspec malig neop paratracheal lymph nodes	Metastatic solid tumour	4
58698	G72y300	aneurysm of neck artery nos	Peripheral vascular disease	1
58706	Nyu4300	[x]other forms of systemic lupus erythematosus	Rheumatic disease	1
5871	14A7.12	h/o: stroke	Cerebrovascular disease	1
58750	K01x300	nephrotic syndrome in polyarteritis nodosa	Renal disease	2
58791	H57y.00	lung disease with diseases ec	Chronic pulmonary disease	1
58794	G722200	aneurysm of internal iliac artery	Peripheral vascular disease	1
58798	BB47.00	"[m]transitional cell carcinoma, spindle cell type"	Any malignancy	2
58835	BBE1100	"[m]desmoplastic melanoma, malignant"	Any malignancy	2
58837	BBF5.00	[m]small cell sarcoma	Any malignancy	2
5884	C109.11	niddm - non-insulin dependent diabetes mellitus	Diabetes (uncomplicated)	1
58857	A788000	acute human immunodeficiency virus infection	HIV/AIDS	4
58859	A788100	asymptomatic human immunodeficiency virus infection	HIV/AIDS	4
58871	B623z00	malignant histiocytosis nos	Any malignancy	2
58879	B836300	carcinoma in situ of scrotum	Any malignancy	2
58883	B802400	carcinoma in situ of pyloric canal	Any malignancy	2
58903	B550z00	"malignant neoplasm of head, neck and face nos"	Any malignancy	2
58949	B308D00	malignant neoplasm of phalanges of foot	Any malignancy	2
58958	B323500	malignant melanoma of temple	Any malignancy	2
58962	B62x500	malignant immunoproliferative small intestinal disease	Any malignancy	2
58973	Byu0.00	"[x]malignant neoplasm of lip, oral cavity and pharynx"	Any malignancy	2
59004	B072.00	malignant neoplasm of lateral wall of nasopharynx	Any malignancy	2
5901	B141.12	rectal carcinoma	Any malignancy	2
59032	323Z.00	ecg: myocardial infarct nos	Myocardial infarction	1
59036	B300.00	malignant neoplasm of bones of skull and face	Any malignancy	2
59041	B500000	malignant neoplasm of ciliary body	Any malignancy	2
59061	B322000	malignant melanoma of auricle (ear)	Any malignancy	2
5909	H312011	chronic wheezy bronchitis	Chronic pulmonary disease	1
59092	B111z00	malignant neoplasm of pylorus of stomach nos	Any malignancy	2
59097	B431000	malignant neoplasm of lower uterine segment	Any malignancy	2
5911	ZV42000	[v]kidney transplanted	Renal disease	2
59115	B602100	"burkitt's lymphoma of lymph nodes of head, face and neck"	Any malignancy	2
59122	Fyu3000	[x]other alzheimer's disease	Dementia	1
59143	BB2D.00	"[m]squamous cell carcinoma, large cell, non-keratinising"	Any malignancy	2
59152	B315200	malignant neoplasm of connective and soft tissue of perineum	Any malignancy	2
59170	B51y000	malignant neoplasm of corpus callosum	Any malignancy	2
59187	7A44.11	transluminal operations on common iliac artery	Peripheral vascular disease	1
59194	7L1By00	placement ambulatory apparatus- compensate renal failure os	Renal disease	2
59223	B306100	malignant neoplasm of ischium	Any malignancy	2
59240	BB58.00	"[m]carcinoma, diffuse type"	Any malignancy	2
59251	BBM9.00	"[m]cystosarcoma phyllodes, malignant"	Any malignancy	2
59253	C10FG00	type 2 diabetes mellitus with arthropathy	Diabetes with end-organ damage	2
59263	H32y111	acute interstitial emphysema	Chronic pulmonary disease	1
5928	7627	operations on duodenal ulcer	Peptic ulcer disease	1
59284	BB82114	[m]mucous adenocarcinoma	Any malignancy	2
59286	B4Ay000	malignant neoplasm of overlapping lesion of urinary organs	Any malignancy	2
59288	C103y00	other specified diabetes mellitus with coma	Diabetes (uncomplicated)	1
5931	1461	h/o: dementia	Dementia	1
59310	BBV1.12	[m]osteochondrosarcoma	Any malignancy	2
59315	SP07G00	stenosis of arteriovenous dialysis fistula	Renal disease	2
5932	BB06.00	"[m]tumour cells, uncertain whether benign or malignant"	Any malignancy	2
59340	H500.00	empyema with fistula	Chronic pulmonary disease	1
59362	B451z00	malignant neoplasm of labia majora nos	Any malignancy	2
59365	C109C00	non-insulin dependent diabetes mellitus with nephropathy	Diabetes with end-organ damage	2
59375	B583z00	secondary malignant neoplasm of brain or spinal cord nos	Metastatic solid tumour	4
59381	B500100	malignant neoplasm of iris	Any malignancy	2
59382	B310000	malignant neoplasm of soft tissue of head	Any malignancy	2
59388	B18y100	malignant neoplasm of mesocaecum	Any malignancy	2
59415	BBB6100	"[m]thymoma, malignant"	Any malignancy	2
5942	G581.13	impaired left ventricular function	Congestive heart failure	1
59426	B81y.11	carcinoma in situ of nasal sinuses	Any malignancy	2
5943	G73..00	other peripheral vascular disease	Peripheral vascular disease	1
59492	G720.00	aneurysm of artery of arm	Peripheral vascular disease	1
59494	N231011	massive muscular calcification associated with paraplegia	Hemiplegia or paraplegia	2
59499	B833100	carcinoma in situ of fallopian tube	Any malignancy	2
59518	7A16y00	other specified other bypass of segment of aorta	Peripheral vascular disease	1
59520	B300200	malignant neoplasm of malar bone	Any malignancy	2
59534	14NB.00	h/o: peripheral vascular disease procedure	Peripheral vascular disease	1
59536	G72yB00	aneurysm of other visceral artery	Peripheral vascular disease	1
59538	G72y800	aneurysm of superior mesenteric artery	Peripheral vascular disease	1
59587	H501600	pyothorax	Chronic pulmonary disease	1
59593	BBm3.00	[m]letterer - siwe disease	Any malignancy	2
59614	B822000	carcinoma in situ of skin of auricle	Any malignancy	2
59651	BBJ8.00	[m]mixed type liposarcoma	Any malignancy	2
59671	G722z00	aneurysm of iliac artery nos	Peripheral vascular disease	1
59718	B542z00	malig neop pituitary gland or craniopharyngeal duct nos	Any malignancy	2
59725	C109111	type ii diabetes mellitus with ophthalmic complications	Diabetes with end-organ damage	2
59738	N040500	rheumatoid arthritis of elbow	Rheumatic disease	1
59755	B61z200	hodgkin's disease nos of intrathoracic lymph nodes	Any malignancy	2
59756	7A40.00	replacement of aneurysmal iliac artery	Peripheral vascular disease	1
59768	B828400	melanoma in situ of trunk	Any malignancy	2
59778	B61z100	"hodgkin's disease nos of lymph nodes of head, face and neck"	Any malignancy	2
59823	B542.00	malignant neoplasm pituitary gland and craniopharyngeal duct	Any malignancy	2
59831	B340z00	malignant neoplasm of nipple or areola of female breast nos	Any malignancy	2
59903	C106.11	diabetic amyotrophy	Diabetes with end-organ damage	2
59918	BB5f200	"[m]follicular adenocarcinoma, well differentiated type"	Any malignancy	2
59919	BB32.00	[m]multicentric basal cell carcinoma	Any malignancy	2
59991	C10D.11	maturity onset diabetes in youth type 2	Diabetes (uncomplicated)	1
59992	K0A4W00	"isolated proteinuria, with unspecified morpholog changes"	Renal disease	2
60035	B310300	malignant neoplasm of cartilage of ear	Any malignancy	2
60045	BB5M100	[m]tubular adenocarcinoma	Any malignancy	2
60052	B55yz00	malignant neoplasm of specified site nos	Any malignancy	2
60059	Eu00012	"[x]primary degen dementia, alzheimer's type, presenile onset"	Dementia	1
60092	B62y700	malignant lymphoma nos of spleen	Any malignancy	2
60099	67D4.00	heart failure information given to patient	Congestive heart failure	1
60107	C108411	unstable type i diabetes mellitus	Diabetes (uncomplicated)	1
60127	BBJ5.12	[m]myxoliposarcoma	Any malignancy	2
60128	K03V.00	"unspecified nephritic syndrome, dense deposit disease"	Renal disease	2
60134	B581000	secondary malignant neoplasm of ureter	Metastatic solid tumour	4
6015	Jyu7100	[x]other and unspecified cirrhosis of liver	Mild liver disease	1
60162	Byu5A00	[x]malignant neoplasm overlapping lesion of skin	Any malignancy	2
60188	H320200	giant bullous emphysema	Chronic pulmonary disease	1
60198	K0A3600	"chronic nephritic syndrome, dense deposit disease"	Renal disease	2
60208	C108J11	type i diabetes mellitus with neuropathic arthropathy	Diabetes with end-organ damage	2
60242	B600000	reticulosarcoma of unspecified site	Any malignancy	2
60249	J13yz00	unspecified peptic ulcer nos	Peptic ulcer disease	1
60275	BBgJ.00	"[m]malignant lymphoma, centroblastic type nos"	Any malignancy	2
60302	7A60600	creation of graft fistula for dialysis	Renal disease	2
60312	B16y.00	malignant neoplasm other gallbladder/extrahepatic bile duct	Any malignancy	2
60313	H44..00	pneumopathy due to inhalation of other dust	Chronic pulmonary disease	1
60335	B58y400	secondary malignant neoplasm of vulva	Metastatic solid tumour	4
60346	J14y100	unspecified gastrojejunal ulcer with haemorrhage	Peptic ulcer disease	1
60347	BBd2.11	[m]leptomeningeal sarcoma	Any malignancy	2
60370	7A28C00	percutaneous transluminal angioplasty of axillary artery	Peripheral vascular disease	1
60403	B303300	malignant neoplasm of costal cartilage	Any malignancy	2
60433	N330900	osteoporosis in multiple myelomatosis	Any malignancy	2
60446	Z919.00	care of haemodialysis equipment	Renal disease	2
60477	B804.00	carcinoma in situ of rectum and rectosigmoid junction	Any malignancy	2
60484	K0A2500	recur+persist hmuria df mesangiocapilary glomerulonephritis	Renal disease	2
60498	Z919300	reversing haemodialysis lines	Renal disease	2
60499	C108600	insulin dependent diabetes mellitus with gangrene	Diabetes with end-organ damage	2
60504	BBgC.12	[m]lymphocytic lymphosarcoma nos	Any malignancy	2
6051	H563100	diffuse pulmonary fibrosis	Chronic pulmonary disease	1
60511	B80..00	carcinoma in situ of digestive organs	Any malignancy	2
60526	B336z00	malignant neoplasm of skin of upper limb or shoulder nos	Any malignancy	2
60563	B825z00	carcinoma in situ of skin of trunk nos	Any malignancy	2
60631	BBV5.00	[m]osteosarcoma in paget's disease of bone	Any malignancy	2
60692	G606.00	subarachnoid haemorrhage from vertebral artery	Cerebrovascular disease	1
60693	7A47300	emerg bypass pop art by pop/pop art anast c vein graft nec	Peripheral vascular disease	1
60699	C109F12	type 2 diabetes mellitus with peripheral angiopathy	Diabetes with end-organ damage	2
60743	ZV56.00	[v]aftercare involving intermittent dialysis	Renal disease	2
60772	B450z00	malignant neoplasm of vagina nos	Any malignancy	2
60775	BB5h100	[m]adrenal cortical carcinoma	Any malignancy	2
60781	P7y0z00	cerebrovascular system anomaly nos	Cerebrovascular disease	1
60796	C10FL11	type ii diabetes mellitus with persistent proteinuria	Diabetes with end-organ damage	2
608	66A2.00	follow-up diabetic assessment	Diabetes (uncomplicated)	1
60803	BB9J.11	"[m]paget's disease, breast"	Any malignancy	2
60805	H420.00	talc pneumoconiosis	Chronic pulmonary disease	1
60856	K0A2700	recur+persist haematuria difus crescentic glomerulonephritis	Renal disease	2
60857	K0A3700	chronic nephritic syn diffuse crescentic glomerulonephritis	Renal disease	2
60879	G722100	aneurysm of external iliac artery	Peripheral vascular disease	1
60918	4M20.00	lymphoma stage i	Any malignancy	2
60960	K02y.00	other chronic glomerulonephritis	Renal disease	2
61021	68AB.00	diabetic digital retinopathy screening offered	Diabetes (uncomplicated)	1
61042	7A34E00	operation on aneurysm of inferior mesenteric artery nec	Peripheral vascular disease	1
61062	P767.00	congenital peripheral aneurysm	Peripheral vascular disease	1
61064	B24X.00	"malignant neoplasm of mediastinum, part unspecified"	Any malignancy	2
61071	C109D12	type 2 diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)	1
61072	G311000	myocardial infarction aborted	Myocardial infarction	1
61103	B823300	carcinoma in situ of skin of cheek	Any malignancy	2
61118	H310z00	simple chronic bronchitis nos	Chronic pulmonary disease	1
61119	H560.00	pulmonary alveolar proteinosis	Chronic pulmonary disease	1
61122	C10H.00	diabetes mellitus induced by non-steroid drugs	Diabetes (uncomplicated)	1
61145	C341z00	gouty nephropathy nos	Renal disease	2
61149	B614300	hodgkin's nodular sclerosis of intra-abdominal lymph nodes	Any malignancy	2
6116	G66..13	cva - cerebrovascular accident unspecified	Cerebrovascular disease	1
61194	B337z00	malignant neoplasm of skin of lower limb or hip nos	Any malignancy	2
61210	TJ23z00	adverse reaction to insulins and antidiabetic agents nos	Diabetes (uncomplicated)	1
61229	H54z.00	pulmonary congestion and hypostasis nos	Chronic pulmonary disease	1
61246	B327600	malignant melanoma of heel	Any malignancy	2
6125	66AS.00	diabetic annual review	Diabetes (uncomplicated)	1
61251	BBgN.00	"[m]malign lymphoma,lymphocytic,intermediate differn, diffuse"	Any malignancy	2
61273	F246000	cauda equina syndrome not affecting bladder	Hemiplegia or paraplegia	2
61289	B564100	secondary and unspec malig neop deep inguinal lymph nodes	Metastatic solid tumour	4
61317	K0A2200	recur+persist haematuria difus membranous glomerulonephritis	Renal disease	2
61321	B825700	carcinoma in situ of skin of buttock	Any malignancy	2
61344	C108011	type i diabetes mellitus with renal complications	Diabetes with end-organ damage	2
