medcode	readcode	readterm	condition
38510	B47z.00	malignant neoplasm of testis nos	Solid tumour or leukaemia
38572	K104.00	xanthogranulomatous pyelonephritis	Renal disease
38575	BB62100	[m]apocrine adenocarcinoma	Solid tumour or leukaemia
3859	H57y200	pulmonary sarcoidosis	Chronic pulmonary disease
38611	B8y..00	carcinoma in situ of other and unspecified sites	Solid tumour or leukaemia
38617	C101y00	other specified diabetes mellitus with ketoacidosis	Diabetes (uncomplicated)
3862	P601.00	congenital atresia of the pulmonary valve	Valvular disease
38632	66C6.00	treatment of obesity started	Obesity
38639	H460.00	bronchitis and pneumonitis due to chemical fumes	Chronic pulmonary disease
38651	BB21.00	[m]papillary carcinoma in situ	Solid tumour or leukaemia
38658	66C1.00	initial obesity assessment	Obesity
38678	Eu00100	[x]dementia in alzheimer's disease with late onset	Other neurological disorders
38685	BB5fz00	[m]thyroid adenoma or adenocarcinoma nos	Solid tumour or leukaemia
38689	B325.00	malignant melanoma of trunk (excluding scrotum)	Solid tumour or leukaemia
38732	G72y500	aneurysm of splenic artery	Peripheral vascular disease
38736	B5y..00	malignant neoplasm of other and unspecified site os	Metastatic cancer
38754	D313300	[x]essential thrombocytopenia nos	Coagulopathy
38770	BBB7.00	[m]epithelial-myoepithelial carcinoma	Solid tumour or leukaemia
38777	B825600	carcinoma in situ of skin of perineum	Solid tumour or leukaemia
38799	C380000	obesity due to excess calories	Obesity
38862	B490.00	malignant neoplasm of trigone of urinary bladder	Solid tumour or leukaemia
38883	B804z00	carcinoma in situ of rectum or rectosigmoid junction nos	Solid tumour or leukaemia
38894	7913.12	replacement of pulmonary valve	Valvular disease
3890	E121.00	chronic paranoid psychosis	Psychoses
38907	G73y.00	other specified peripheral vascular disease	Peripheral vascular disease
38918	B583100	secondary malignant neoplasm of spinal cord	Metastatic cancer
38919	1B1W.00	transient epileptic amnesia	Other neurological disorders
38921	7A41z00	other bypass of iliac artery nos	Peripheral vascular disease
38931	B4y..00	malignant neoplasm of genitourinary organ os	Solid tumour or leukaemia
38936	SL6y.00	antiparkinsonism drug poisoning	Other neurological disorders
38938	B306z00	"malignant neoplasm of pelvis, sacrum or coccyx nos"	Solid tumour or leukaemia
38939	B613.00	"hodgkin's disease, lymphocytic-histiocytic predominance"	Lymphoma
38961	B22y.00	malignant neoplasm of other sites of bronchus or lung	Solid tumour or leukaemia
38976	C043z00	iatrogenic hypothyroidism nos	Hypothyroidism
38978	B15z.00	malignant neoplasm of liver and intrahepatic bile ducts nos	Solid tumour or leukaemia
38985	H4y..00	other specified lung diseases due to external agent	Chronic pulmonary disease
38986	C100.00	diabetes mellitus with no mention of complication	Diabetes (uncomplicated)
39003	G565z00	other bundle branch block nos	Cardiac arrythmia
39023	F256.12	west syndrome	Other neurological disorders
39027	ByuC000	[x]malignant neoplasm of other specified sites	Solid tumour or leukaemia
3903	B22z.00	malignant neoplasm of bronchus or lung nos	Solid tumour or leukaemia
39038	BB85.00	[m]signet ring carcinoma	Solid tumour or leukaemia
39059	BBEX.00	[m]melanoma in situ	Solid tumour or leukaemia
39062	E10y.00	other schizophrenia	Psychoses
39064	B81y900	carcinoma in situ of sphenoidal sinus	Solid tumour or leukaemia
39070	C10EE00	type 1 diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)
39080	B803000	carcinoma in situ of hepatic flexure of colon	Solid tumour or leukaemia
39084	B0z2.00	malignant neoplasm of laryngopharynx	Solid tumour or leukaemia
39085	F220.00	flaccid hemiplegia	Paralysis
39088	B514.00	malignant neoplasm of occipital lobe	Solid tumour or leukaemia
3909	G576.11	premature beats	Cardiac arrythmia
3911	7910.12	replacement of mitral valve	Valvular disease
39114	9hF1.00	excepted from atrial fibrillation qual indic: inform dissent	Cardiac arrythmia
39148	BB5Mz00	[m]tubular adenoma or adenocarcinoma nos	Solid tumour or leukaemia
39160	667V.00	many seizures a day	Other neurological disorders
39298	C361.00	hyposmolality and or hyponatraemia	Fluid and electrolyte disorders
39312	BBM8.00	[m]cystosarcoma phyllodes nos	Solid tumour or leukaemia
39316	Eu21.00	[x]schizotypal disorder	Psychoses
39317	C106100	"diabetes mellitus, adult onset, + neurological manifestation"	Diabetes with end-organ damage
39327	Eu10200	[x]mental and behav dis due to use alcohol: dependence syndr	Alcohol abuse
39344	G676000	"cereb infarct due cerebral venous thrombosis, nonpyogenic"	Other neurological disorders
39351	J635500	toxic liver disease with chronic active hepatitis	Liver disease
39390	B825200	carcinoma in situ of skin of axilla	Solid tumour or leukaemia
39403	G683.00	sequelae of cerebral infarction	Other neurological disorders
3941	C04z.00	hypothyroidism nos	Hypothyroidism
39413	B18y500	malignant neoplasm of pelvic peritoneum	Solid tumour or leukaemia
39420	F381300	myasthenic syndrome due to diabetic amyotrophy	Diabetes with end-organ damage
39430	B0zz.00	"malignant neoplasm of lip, oral cavity and pharynx nos"	Solid tumour or leukaemia
39433	B560500	secondary and unspec malig neop submandibular lymph nodes	Metastatic cancer
3944	N044.00	chronic post-rheumatic arthropathy	Rheumatoid arthritis and collagen diseases
39478	H35y700	wood asthma	Chronic pulmonary disease
39522	BBV..00	[m]osteomas and osteosarcomas	Solid tumour or leukaemia
39531	B25..00	"malig neo, overlapping lesion of heart, mediastinum & pleura"	Solid tumour or leukaemia
39554	B063.00	malignant neoplasm of vallecula	Solid tumour or leukaemia
39570	663r.00	asthma causes night symptoms 1 to 2 times per month	Chronic pulmonary disease
39590	B206.00	"malignant neoplasm, overlapping lesion of accessory sinuses"	Solid tumour or leukaemia
39598	SP15411	kidney failure as a complication of care	Renal disease
39605	42Qj.00	factor viii inhibitor activity	Coagulopathy
39625	E04z.00	chronic organic psychosis nos	Psychoses
39629	B653100	granulocytic sarcoma	Solid tumour or leukaemia
39649	G220.00	malignant hypertensive renal disease	Hypertension with end-organ damage
39671	G54z000	incompetence of unspecified heart valve	Valvular disease
3968	B34..00	malignant neoplasm of female breast	Solid tumour or leukaemia
3969	BB9M.00	[m]intracystic carcinoma nos	Solid tumour or leukaemia
39717	B81y100	carcinoma in situ of nasal cavity	Solid tumour or leukaemia
39749	7A43200	operation on aneurysm of iliac artery nec	Peripheral vascular disease
39760	BB91100	[m]infiltrating duct and lobular carcinoma	Solid tumour or leukaemia
39763	7911100	xenograft replacement of aortic valve	Valvular disease
39776	7A47.14	other emergency bypass of popliteal artery	Peripheral vascular disease
3979	G672.00	hypertensive encephalopathy	Other neurological disorders
39798	B627X00	"diffuse non-hodgkin's lymphoma, unspecified"	Lymphoma
39799	Eu10600	[x]mental and behav dis due to use alcohol: amnesic syndrome	Alcohol abuse
398	G580.00	congestive heart failure	Congestive heart failure
39808	TJ90z00	adverse reaction to antidepressants nos	Depression
39809	C108J00	insulin dependent diab mell with neuropathic arthropathy	Diabetes with end-organ damage
3984	E100200	chronic schizophrenic	Psychoses
39840	K08y.00	other impaired renal function disorder	Renal disease
39843	G566.00	other heart block	Cardiac arrythmia
39863	ZV10214	[v]personal history of malignant neoplasm of nose	Solid tumour or leukaemia
39870	B172.00	malignant neoplasm of tail of pancreas	Solid tumour or leukaemia
39875	BB5Nz00	[m]adenomatous or adenocarcinomatous polyps of the colon nos	Solid tumour or leukaemia
39877	7A48400	bypass femoral artery by fem/tib art anast c prosthesis nec	Peripheral vascular disease
39878	B327300	malignant melanoma of popliteal fossa area	Solid tumour or leukaemia
39897	B081.00	malignant neoplasm of pyriform sinus	Solid tumour or leukaemia
39899	B542100	malignant neoplasm of craniopharyngeal duct	Solid tumour or leukaemia
39906	BBgE.00	"[m]malignant lymphoma, centrocytic"	Lymphoma
39916	G540300	mitral valve leaf prolapse	Valvular disease
39923	B223100	malignant neoplasm of middle lobe of lung	Solid tumour or leukaemia
39945	J600011	acute liver failure	Liver disease
3995	G70z.00	arteriosclerotic vascular disease nos	Peripheral vascular disease
39960	Nyu6.00	[x]spondylopathies	Rheumatoid arthritis and collagen diseases
39972	7915300	revision of plastic repair of pulmonary valve	Valvular disease
39977	7919	therapeutic transluminal operations on valve of heart	Valvular disease
39983	E252100	"nondependent cannabis abuse, continuous"	Drug abuse
39992	P60..00	pulmonary valve anomalies	Valvular disease
39993	F447C00	iridodialysis	Renal disease
40000	C37yB00	langerhans' cell histiocytosis	Lymphoma
40014	B310100	malignant neoplasm of soft tissue of face	Solid tumour or leukaemia
40023	C102000	"diabetes mellitus, juvenile type, with hyperosmolar coma"	Diabetes (uncomplicated)
40053	G671.00	generalised ischaemic cerebrovascular disease nos	Other neurological disorders
4006	42P2.00	thrombocytopenia	Coagulopathy
40086	7911y00	other specified plastic repair of aortic valve	Valvular disease
40098	1JA1.00	suspected cerebrovascular disease	Other neurological disorders
40105	F255600	simple partial epileptic seizure	Other neurological disorders
40118	3295	ecg: partial a-v block - 2:1	Cardiac arrythmia
40153	66CZ.00	obesity monitoring nos	Obesity
40159	H311000	purulent chronic bronchitis	Chronic pulmonary disease
40175	3298	ecg: complete a-v block	Cardiac arrythmia
40239	G544.00	multiple valve diseases	Valvular disease
4024	G58z.00	heart failure nos	Congestive heart failure
40240	BB5D500	[m]hepatocellular carcinoma nos	Solid tumour or leukaemia
40264	ZV45H00	[v]presence of prosthetic heart valve	Valvular disease
40292	B053.00	malignant neoplasm of soft palate	Solid tumour or leukaemia
40302	7A10300	axillo-unifemoral ptfe bypass graft	Peripheral vascular disease
40303	BBET.00	[m]mixed epithelioid and spindle melanoma	Solid tumour or leukaemia
40328	Q206000	"brachial palsy unspecified, due to birth trauma"	Paralysis
40338	G611.00	internal capsule haemorrhage	Other neurological disorders
40344	F200.00	multiple sclerosis of the brain stem	Other neurological disorders
40349	K013.11	lipoid nephrosis	Renal disease
40359	BB94.00	[m]juvenile breast carcinoma	Solid tumour or leukaemia
40386	Eu21.15	[x]prodromal schizophrenia	Psychoses
40387	N003.11	poikilodermatomyositis	Rheumatoid arthritis and collagen diseases
40401	C109500	non-insulin dependent diabetes mellitus with gangrene	Diabetes with end-organ damage
40413	K0A3100	chronic nephritic syndrm focal+segmental glomerular lesions	Renal disease
40437	B50y.00	malignant neoplasm of other specified site of eye	Solid tumour or leukaemia
40438	BB5D111	[m]bile duct carcinoma	Solid tumour or leukaemia
4044	G57..00	cardiac dysrhythmias	Cardiac arrythmia
40443	B33..15	malignant neoplasm of sweat gland	Solid tumour or leukaemia
40489	ZV12712	[v]personal history of duodenal ulcer	Peptic ulcer disease
40492	BBe9.00	"[m]triton tumour, malignant"	Solid tumour or leukaemia
40508	BBj6000	"[m]hodgkin,s disease, nodular sclerosis, lymphocytic predom"	Lymphoma
40513	BBkz.00	"[m]lymphoma, nodular or follicular nos"	Lymphoma
40524	G723600	post radiological femoral false aneurysm	Peripheral vascular disease
40530	E230000	"acute alcoholic intoxication, unspecified, in alcoholism"	Alcohol abuse
40536	E255000	"nondependent opioid abuse, unspecified"	Drug abuse
40557	B01z.00	malignant neoplasm of tongue nos	Solid tumour or leukaemia
40561	ZV10711	[v]personal history of hodgkin's disease	Lymphoma
40567	J615600	capsular portal cirrhosis	Liver disease
40582	G544000	disorders of both aortic and tricuspid valves	Valvular disease
40592	Byu5.00	[x]malignant neoplasm of mesothelial and soft tissue	Solid tumour or leukaemia
40595	Byu2000	"[x]malignant neoplasm of bronchus or lung, unspecified"	Solid tumour or leukaemia
40598	Byu7.00	[x]malignant neoplasm of female genital organs	Solid tumour or leukaemia
40608	ByuB.00	[x]malignant neoplasm of thyroid and other endocrine glands	Solid tumour or leukaemia
40622	BB5V711	[m]mucoid cell carcinoma	Solid tumour or leukaemia
40632	BB82.00	[m]mucinous adenoma and adenocarcinoma	Solid tumour or leukaemia
40670	F040111	cerebellar abscess	Other neurological disorders
40671	Byu8.00	[x]malignant neoplasm of male genital organs	Solid tumour or leukaemia
40682	C10E900	type 1 diabetes mellitus maturity onset	Diabetes (uncomplicated)
40732	7A48.16	other bypass of superficial femoral artery	Peripheral vascular disease
40740	ByuD.00	"[x]malignant neoplasms of lymphoid, haematopoietic and rela"	Solid tumour or leukaemia
40749	Byu3.00	[x]malignant neoplasm of bone and articular cartilage	Solid tumour or leukaemia
40750	D00z200	idiopathic hypochromic anaemia	Deficiency anaemia
40758	G6W..00	cereb infarct due unsp occlus/stenos precerebr arteries	Other neurological disorders
40762	Q409000	congenital hepatitis a infection	Liver disease
40766	BBm5.00	[m] peripheral t-cell lymphoma nos	Lymphoma
40781	E247z00	other specified drug dependence nos	Drug abuse
40787	G716000	"thoracoabdominal aortic aneurysm, without mention of rupture"	Peripheral vascular disease
40788	H32y.00	other emphysema	Chronic pulmonary disease
4080	D012.00	folate-deficiency anaemia	Deficiency anaemia
40806	F251z00	generalised convulsive epilepsy nos	Other neurological disorders
40810	B171.00	malignant neoplasm of body of pancreas	Solid tumour or leukaemia
40814	B307200	malignant neoplasm of tibia	Solid tumour or leukaemia
40823	H334.00	brittle asthma	Chronic pulmonary disease
40837	C10EN00	type 1 diabetes mellitus with ketoacidotic coma	Diabetes (uncomplicated)
40841	N044.11	jaccoud's syndrome	Rheumatoid arthritis and collagen diseases
40847	G632.00	vertebral artery occlusion	Other neurological disorders
40863	667J.00	epilepsy impairs education	Other neurological disorders
40864	U60F615	[x] adverse reaction to theophylline - asthma	Chronic pulmonary disease
4087	B831.11	cin iii - carcinoma in situ of cervix	Solid tumour or leukaemia
40893	294A.00	upper limb spasticity	Paralysis
40900	42QB.11	plasma factor viii level	Coagulopathy
4093	F253.11	status epilepticus	Other neurological disorders
40949	G540.12	mitral valve insufficiency	Valvular disease
40950	D401100	familial erythrophagocytic lymph histiocytosis	Lymphoma
40953	H55..11	cirrhosis of lung	Chronic pulmonary disease
40962	C109H00	non-insulin dependent d m with neuropathic arthropathy	Diabetes with end-organ damage
40963	J61y300	portal fibrosis without cirrhosis	Liver disease
40966	B306300	malignant neoplasm of sacral vertebra	Solid tumour or leukaemia
40991	4M2..00	lymphoma staging system	Lymphoma
40997	J131.00	chronic peptic ulcer	Peptic ulcer disease
41011	B3z..00	"malig neop of bone, connective tissue, skin and breast nos"	Solid tumour or leukaemia
41017	1780	aspirin induced asthma	Chronic pulmonary disease
41020	66YC.00	absent from work or school due to asthma	Chronic pulmonary disease
41022	Eu25112	"[x]schizophreniform psychosis, depressive type"	Depression
41039	13cF.00	preoccupied with substance misuse	Drug abuse
41049	C108712	type 1 diabetes mellitus with retinopathy	Diabetes with end-organ damage
4108	F135000	hemiballismus	Other neurological disorders
41089	E002z00	senile dementia with depressive or paranoid features nos	Other neurological disorders
4109	SC20000	traumatic epilepsy	Other neurological disorders
41096	A707100	chronic viral hepatitis b without delta-agent	Liver disease
41104	J635200	toxic liver disease with acute hepatitis	Liver disease
41144	B582300	secondary malignant neoplasm of skin of trunk	Metastatic cancer
41157	C354200	idiopathic hypercalcaemia	Fluid and electrolyte disorders
41159	K0C1.00	nephropathy induced by other drugs meds and biologl substncs	Renal disease
41168	7910z00	plastic repair of mitral valve nos	Valvular disease
41169	7915	revision of plastic repair of valve of heart	Valvular disease
41171	G72y.00	aneurysm of other artery	Peripheral vascular disease
4118	BBV9.00	[m]myxoid chondrosarcoma	Solid tumour or leukaemia
41185	Eu02400	[x]dementia in human immunodef virus [hiv] disease	Other neurological disorders
41207	E141100	residual disintegrative psychoses	Psychoses
41215	B111100	malignant neoplasm of pyloric canal of stomach	Solid tumour or leukaemia
41220	7A35300	percutaneous transluminal angioplasty suprarenal artery nec	Peripheral vascular disease
41237	J631.00	hepatitis in viral diseases ec	Liver disease
41239	K0A5100	"hereditary nephropathy nec,focal+segmnt glomerular lesion"	Renal disease
41271	ZV12C00	[v] personal history of gastric ulcer	Peptic ulcer disease
41278	B323000	malignant melanoma of external surface of cheek	Solid tumour or leukaemia
41285	K0A1200	rapid progres neph syn diffuse membranous glomerulonephritis	Renal disease
41313	BB5D300	[m]bile duct cystadenocarcinoma	Solid tumour or leukaemia
41362	B101.00	malignant neoplasm of thoracic oesophagus	Solid tumour or leukaemia
41369	B60..00	lymphosarcoma and reticulosarcoma	Lymphoma
4137	B570.00	secondary malignant neoplasm of lung	Metastatic cancer
41389	C105100	"diabetes mellitus, adult onset, + ophthalmic manifestation"	Diabetes with end-organ damage
41469	D306.00	defibrination syndrome	Coagulopathy
41473	L183.00	"drug dependence in pregnancy, childbirth and the puerperium"	Drug abuse
41490	B327700	malignant melanoma of foot	Solid tumour or leukaemia
41491	H341.00	post-infective bronchiectasis	Chronic pulmonary disease
41515	ByuA100	"[x]malignant neoplasm/central nervous system, unspecified"	Solid tumour or leukaemia
41520	B51z.00	malignant neoplasm of brain nos	Solid tumour or leukaemia
41521	C29y.00	other nutritional deficiency	Weight loss
41523	B223000	malignant neoplasm of middle lobe bronchus	Solid tumour or leukaemia
41530	B01y.00	malignant neoplasm of other sites of tongue	Solid tumour or leukaemia
41554	9OJ3.00	asthma monitor offer default	Chronic pulmonary disease
41571	B495.00	malignant neoplasm of bladder neck	Solid tumour or leukaemia
41577	1477	h/o: cerebrovascular disease	Other neurological disorders
41597	G74yz00	embolism and thrombosis of other arteries nos	Peripheral vascular disease
41622	F144200	cerebellar ataxia due to neoplasia	Other neurological disorders
4165	F140.00	friedreich's ataxia	Other neurological disorders
41673	J635X00	"toxic liver disease, unspecified"	Liver disease
41676	K034.00	renal cortical necrosis unspecified	Renal disease
41677	G341z00	aneurysm of heart nos	Peripheral vascular disease
41686	Cyu2000	[x]other specified diabetes mellitus	Diabetes (uncomplicated)
41691	B562000	secondary and unspec malig neop coeliac lymph nodes	Metastatic cancer
41694	H355.00	mushroom workers' lung	Chronic pulmonary disease
41702	BB5N.00	[m]adenomatous and adenocarcinomatous polyps of colon	Solid tumour or leukaemia
41710	7936511	implantation of temporary intravenous cardiac pacemaker	Cardiac arrythmia
41716	C108C00	insulin dependent diabetes mellitus with polyneuropathy	Diabetes with end-organ damage
41728	G42yz00	other specified pulmonary circulation disease nos	Pulmonary circulation disorders
41744	F29y300	toxic encephalopathy	Other neurological disorders
41754	BBg7.00	"[m]malignant lymphoma, lymphoplasmacytoid type"	Lymphoma
41803	BBf..00	[m]granular cell tumours and alveolar soft part sarcoma	Solid tumour or leukaemia
41816	BB2E.00	"[m]squamous cell carcinoma, small cell, non-keratinising"	Solid tumour or leukaemia
41841	BBgB.00	"[m]malignant lymphoma, follicular centre cell nos"	Lymphoma
4186	N043.00	juvenile rheumatoid arthritis - still's disease	Rheumatoid arthritis and collagen diseases
41881	K032y14	mesangiocapillary glomerulonephritis nec	Renal disease
41910	G605.00	subarachnoid haemorrhage from basilar artery	Other neurological disorders
41916	G574z00	ventricular fibrillation and flutter nos	Cardiac arrythmia
41920	E011z00	alcohol amnestic syndrome nos	Alcohol abuse
41931	B550100	malignant neoplasm of cheek nos	Solid tumour or leukaemia
41941	N040900	rheumatoid arthritis of pip joint of finger	Rheumatoid arthritis and collagen diseases
41958	B331200	malignant neoplasm of lower eyelid	Solid tumour or leukaemia
41983	Z191.00	alcohol detoxification	Alcohol abuse
41989	Eu32211	[x]single episode agitated depressn w'out psychotic symptoms	Depression
41992	E11z.00	other and unspecified affective psychoses	Psychoses
42011	7937100	resiting of lead of cardiac pacemaker system nec	Cardiac arrythmia
42012	B494.00	malignant neoplasm of posterior wall of urinary bladder	Solid tumour or leukaemia
42023	B497.00	malignant neoplasm of urachus	Solid tumour or leukaemia
42070	B345.00	malignant neoplasm of lower-outer quadrant of female breast	Solid tumour or leukaemia
42082	BBK3700	[m]alveolar rhabdomyosarcoma	Solid tumour or leukaemia
42117	D012z00	folate-deficiency anaemia nos	Deficiency anaemia
42128	G140400	"tricuspid insufficiency, cause unspecified"	Valvular disease
42129	B800.12	carcinoma in situ of pharynx	Solid tumour or leukaemia
42140	E252000	"nondependent cannabis abuse, unspecified"	Drug abuse
42141	7936y00	other specified cardiac pacemaker system introduced via vein	Cardiac arrythmia
42148	32A3.00	ecg: p mitrale	Valvular disease
42153	B32y.00	malignant melanoma of other specified skin site	Solid tumour or leukaemia
42156	Q206111	erb-duchenne paralysis	Paralysis
42169	BB5cz00	[m]parathyroid adenoma or adenocarcinoma nos	Solid tumour or leukaemia
4217	BB5c.00	[m]parathyroid adenomas and adenocarcinomas	Solid tumour or leukaemia
4218	B541.00	malignant neoplasm of parathyroid gland	Solid tumour or leukaemia
42193	B115.00	malignant neoplasm of lesser curve of stomach unspecified	Solid tumour or leukaemia
42198	BBj6.00	"[m]hodgkin's disease, nodular sclerosis nos"	Lymphoma
42212	B825400	carcinoma in situ of skin of abdominal wall	Solid tumour or leukaemia
42218	B55y.00	malignant neoplasm of other specified sites	Solid tumour or leukaemia
42222	J631z00	hepatitis in viral diseases ec nos	Liver disease
42229	G24zz00	secondary hypertension nos	Hypertension (uncomplicated)
42239	G140112	tricuspid incompetence - rheumatic	Valvular disease
42258	9Oi3.00	chronic obstructive pulmonary disease monitoring verb invite	Chronic pulmonary disease
42261	7937y00	other specified other cardiac pacemaker system	Cardiac arrythmia
42267	ZS42400	cerebellar dysarthria	Other neurological disorders
42273	BB5T.00	[m]papillary adenomas and adenocarcinomas	Solid tumour or leukaemia
42274	J140z00	acute gastrojejunal ulcer nos	Peptic ulcer disease
42279	E004z00	arteriosclerotic dementia nos	Other neurological disorders
42283	S63z.00	other cerebral haemorrhage following injury nos	Other neurological disorders
42289	J632z00	hepatitis in infectious diseases ec nos	Liver disease
42299	N040800	rheumatoid arthritis of mcp joint	Rheumatoid arthritis and collagen diseases
42313	679V.00	health education - chronic obstructive pulmonary disease	Chronic pulmonary disease
42331	G603.00	subarachnoid haemorrhage from anterior communicating artery	Other neurological disorders
42335	L440.00	cerebrovascular disorders in the puerperium	Other neurological disorders
42396	A941.11	general paralysis of insane	Paralysis
4240	G631.00	carotid artery occlusion	Other neurological disorders
42405	N045000	juvenile ankylosing spondylitis	Rheumatoid arthritis and collagen diseases
42416	B105.00	malignant neoplasm of lower third of oesophagus	Solid tumour or leukaemia
42426	B511.00	malignant neoplasm of frontal lobe	Solid tumour or leukaemia
42429	B33X.00	malignant neoplasm overlapping lesion of skin	Solid tumour or leukaemia
42439	C391211	thrombocytopenic eczema with immunodeficiency	Coagulopathy
42444	7A14100	replace aneurysm thoracic aorta by anast of aorta/aorta nec	Peripheral vascular disease
42456	Eu11000	[x]mental & behav dis due to use opioids: acute intoxication	Drug abuse
42460	B543.00	malignant neoplasm of pineal gland	Solid tumour or leukaemia
42461	B61zz00	hodgkin's disease nos	Lymphoma
42488	7936z00	cardiac pacemaker system introduced via vein nos	Cardiac arrythmia
42497	P100.00	unspecified spina bifida with hydrocephalus	Other neurological disorders
42505	C101z00	diabetes mellitus nos with ketoacidosis	Diabetes (uncomplicated)
42542	BB9K.00	[m]paget's disease and infiltrating breast duct carcinoma	Solid tumour or leukaemia
42553	BBB3.00	[m]adenocarcinoma with cartilaginous and osseous metaplasia	Solid tumour or leukaemia
42566	B224z00	"malignant neoplasm of lower lobe, bronchus or lung nos"	Solid tumour or leukaemia
42567	C103000	"diabetes mellitus, juvenile type, with ketoacidotic coma"	Diabetes (uncomplicated)
42569	B2zz.00	malignant neoplasm of respiratory tract nos	Solid tumour or leukaemia
42579	B62y300	malignant lymphoma nos of intra-abdominal lymph nodes	Lymphoma
42602	E001000	uncomplicated presenile dementia	Other neurological disorders
4261	E12..00	paranoid states	Psychoses
42640	7A48y00	other bypass of femoral artery or popliteal artery os	Peripheral vascular disease
42649	8BAc.00	substance misuse management stopped - self withdrawal	Drug abuse
42664	D311z00	qualitative platelet deficiency nos	Coagulopathy
42707	B336100	malignant neoplasm of skin of upper arm	Solid tumour or leukaemia
42714	B327500	malignant melanoma of ankle	Solid tumour or leukaemia
42719	N000z00	systemic lupus erythematosus nos	Rheumatoid arthritis and collagen diseases
42729	C108E11	type i diabetes mellitus with hypoglycaemic coma	Diabetes (uncomplicated)
4273	G621.00	subdural haemorrhage - nontraumatic	Other neurological disorders
42751	7A16z00	other bypass of segment of aorta nos	Peripheral vascular disease
4276	H160400	laryngitis sicca	Rheumatoid arthritis and collagen diseases
42762	C109612	type 2 diabetes mellitus with retinopathy	Diabetes with end-organ damage
42769	BBjz.00	[m]hodgkin's disease nos	Lymphoma
42803	G567z00	anomalous atrioventricular excitation nos	Cardiac arrythmia
42824	663q.00	asthma daytime symptoms	Chronic pulmonary disease
42831	C10E200	type 1 diabetes mellitus with neurological complications	Diabetes with end-organ damage
42843	J61y.00	other non-alcoholic chronic liver disease	Liver disease
42856	B200z00	malignant neoplasm of nasal cavities nos	Solid tumour or leukaemia
4289	G74..00	arterial embolism and thrombosis	Peripheral vascular disease
42901	G411.00	kyphoscoliotic heart disease	Pulmonary circulation disorders
42923	E243100	"cannabis dependence, continuous"	Drug abuse
42931	9HA0.00	on depression register	Depression
42940	H57y100	lung disease with polymyositis	Chronic pulmonary disease
430	C380.00	obesity	Obesity
43001	9N4h.00	dna - did not attend peripheral vascular disease clinic	Peripheral vascular disease
43075	E240100	continuous opioid dependence	Drug abuse
43087	B331.00	malignant neoplasm of eyelid including canthus	Solid tumour or leukaemia
43089	E004000	uncomplicated arteriosclerotic dementia	Other neurological disorders
43093	E110300	"single manic episode, severe without mention of psychosis"	Psychoses
43108	7A14.00	other replacement of aneurysmal segment of aorta	Peripheral vascular disease
43111	B213.00	malignant neoplasm of laryngeal cartilage	Solid tumour or leukaemia
43122	B336000	malignant neoplasm of skin of shoulder	Solid tumour or leukaemia
43139	C102100	"diabetes mellitus, adult onset, with hyperosmolar coma"	Diabetes (uncomplicated)
43151	Byu3300	"[x]malignant neoplasm/bone+articular cartilage, unspecified"	Solid tumour or leukaemia
43193	E231000	unspecified chronic alcoholism	Alcohol abuse
43200	B06z.00	malignant neoplasm of oropharynx nos	Solid tumour or leukaemia
4321	F12..00	parkinson's disease	Other neurological disorders
43225	E14..00	psychoses with origin in childhood	Psychoses
43227	C10F311	type ii diabetes mellitus with multiple complications	Diabetes with end-organ damage
4323	E2B1.00	chronic depression	Depression
43232	666B.00	multiple sclerosis multidisciplinary review	Other neurological disorders
4325	G73yz00	other specified peripheral vascular disease nos	Peripheral vascular disease
4327	TB01000	"implant of cardiac pacemaker with complication, no blame"	Cardiac arrythmia
43285	H48..00	progressive massive fibrosis	Chronic pulmonary disease
43292	E004300	arteriosclerotic dementia with depression	Depression
43311	ZV10212	[v]personal history of malignant neoplasm of larynx	Solid tumour or leukaemia
43324	E112500	"single major depressive episode, partial or unspec remission"	Depression
43346	Eu00113	"[x]primary degen dementia of alzheimer's type, senile onset"	Other neurological disorders
43373	D300.11	antihaemophilic globulin deficiency	Coagulopathy
43380	B81y600	carcinoma in situ of maxillary sinus	Solid tumour or leukaemia
43390	B12z.00	malignant neoplasm of small intestine nos	Solid tumour or leukaemia
43392	B483.00	"malignant neoplasm of penis, part unspecified"	Solid tumour or leukaemia
43400	B03..00	malignant neoplasm of gum	Solid tumour or leukaemia
43404	7609300	local ligation of oesophageal varices	Liver disease
43405	Eu20100	[x]hebephrenic schizophrenia	Psychoses
43415	ByuD000	[x]other hodgkin's disease	Lymphoma
43417	H4y2100	chronic drug-induced interstitial lung disorders	Chronic pulmonary disease
43431	B010.00	malignant neoplasm of base of tongue	Solid tumour or leukaemia
43435	B41yz00	malignant neoplasm of other site of cervix nos	Solid tumour or leukaemia
43451	G682.00	sequelae of other nontraumatic intracranial haemorrhage	Other neurological disorders
43453	C10C.00	diabetes mellitus autosomal dominant	Diabetes (uncomplicated)
43462	1BH0.00	delusion of persecution	Psychoses
43463	B325700	malignant melanoma of back	Solid tumour or leukaemia
43479	B121.00	malignant neoplasm of jejunum	Solid tumour or leukaemia
43490	Byu1100	[x]other specified carcinomas of liver	Solid tumour or leukaemia
43492	7931000	inspection of valve of heart	Valvular disease
43537	43j7.00	hiv 1 nucleic acid detection	HIV/AIDS
