medcodeGold	medcodeA	readcode	readterm	Category
		C10E712	Insulin dependent diabetes mellitus with retinopathy	IDDM
		C108700	Insulin dependent diabetes mellitus with retinopathy	IDDM
		C108500	Insulin dependent diabetes mellitus with ulcer	IDDM
		C108200	Insulin-dependent diabetes mellitus with neurological comps	IDDM
		C108200	Insulin-dependent diabetes mellitus with neurological comps	IDDM
		C108100	Insulin-dependent diabetes mellitus with ophthalmic comps	IDDM
		C10E112	Insulin-dependent diabetes mellitus with ophthalmic comps	IDDM
		C108100	Insulin-dependent diabetes mellitus with ophthalmic comps	IDDM
		C108000	Insulin-dependent diabetes mellitus with renal complications	IDDM
		C108000	Insulin-dependent diabetes mellitus with renal complications	IDDM
		C108A00	Insulin-dependent diabetes without complication	IDDM
		C108400	Unstable insulin dependant diabetes mellitus	IDDM
99719		C10EA12	Insulin-dependent diabetes without complication	IDDM
99716		C10EE12	Insulin dependent diabetes mellitus with hypoglycaemic coma	IDDM
303252		250 AD	DIABETES MELLITUS INSULIN DEPENDANT	IDDM
101311		C10EC12	Insulin dependent diabetes mellitus with polyneuropathy	IDDM
101735		C10E212	Insulin-dependent diabetes mellitus with neurological comps	IDDM
109051		C10E612	Insulin dependent diabetes mellitus with gangrene	IDDM
102163		C10ED12	Insulin dependent diabetes mellitus with nephropathy	IDDM
102946		C10E012	Insulin-dependent diabetes mellitus with renal complications	IDDM
100770		C10EF12	Insulin dependent diabetes mellitus with diabetic cataract	IDDM
109878		ZC2C911	Diet advice for insulin-dependent diabetes	IDDM
14803		C100100	"Diabetes mellitus, adult onset, no mention of complication"	Type2
54856		C101100	"Diabetes mellitus, adult onset, with ketoacidosis"	Type2
14889		C100111	Maturity onset diabetes	Type2
68843		C103100	"Diabetes mellitus, adult onset, with ketoacidotic coma"	Type2
13078		13AC.00	Diabetic weight reducing diet	Type2
43139		C102100	"Diabetes mellitus, adult onset, with hyperosmolar coma"	Type2
63762		C10z100	"Diabetes mellitus, adult onset, + unspecified complication"	Type2
35105		C104100	"Diabetes mellitus, adult onset, with renal manifestation"	Type2
41389		C105100	"Diabetes mellitus, adult onset, + ophthalmic manifestation"	Type2
		C106100	"Diabetes mellitus, adult onset, + neurological manifestation"	Type2
		C105100	"Diabetes mellitus, adult onset, + ophthalmic manifestation"	Type2
		C104100	"Diabetes mellitus, adult onset, with renal manifestation"	Type2
107508		66AH200	Conversion to insulin by diabetes specialist nurse	Type2Maybe
303259		250 DC	DIETARY CONTROL DIABETES	Type2Maybe
303253		250 AK	MATURITY ONSET DIABETES MELLITUS INSULIN	Type1
	1.55057E+15	C10A.11	Jamaica type diabetes	Type2Maybe
	8.81451E+14	C100199	Diabetes mellitus -adult onset	Type2
	2.46025E+15	66o2.00	Diabetic on non-insulin injectable medication	Type2Maybe
	2.50092E+15	13B1000	Diabetic carbohydrate counting diet	Type2Maybe
	1.96631E+15	66o5.00	Diabetic on oral treatment and glucagon-like peptide 1	Type2Maybe
	1.85535E+15		Conversion to insulin by diabetic specialist nurse	Type2Maybe
7563		66A3.00	Diabetic on diet only	NIDDM
29979		C109900	Non-insulin-dependent diabetes mellitus without complication	NIDDM
8403		C109700	Non-insulin dependent diabetes mellitus - poor control	NIDDM
5884		C109.11	NIDDM - Non-insulin dependent diabetes mellitus	NIDDM
1684		66A4.00	Diabetic on oral treatment	NIDDM
43785		C109D00	Non-insulin dependent diabetes mellitus with hypoglyca coma	NIDDM
4513		C109.00	Non-insulin dependent diabetes mellitus	NIDDM
50609		L180600	"Pre-existing diabetes mellitus, non-insulin-dependent"	NIDDM
34912		C109400	Non-insulin dependent diabetes mellitus with ulcer	NIDDM
50429		C109100	Non-insulin-dependent diabetes mellitus with ophthalm comps	NIDDM
45467		C109B00	Non-insulin dependent diabetes mellitus with polyneuropathy	NIDDM
54212		C109F00	Non-insulin-dependent d m with peripheral angiopath	NIDDM
40962		C109H00	Non-insulin dependent d m with neuropathic arthropathy	NIDDM
55842		C109200	Non-insulin-dependent diabetes mellitus with neuro comps	NIDDM
40401		C109500	Non-insulin dependent diabetes mellitus with gangrene	NIDDM
72320		C109A00	Non-insulin dependent diabetes mellitus with mononeuropathy	NIDDM
62146		C109300	Non-insulin-dependent diabetes mellitus with multiple comps	NIDDM
59365		C109C00	Non-insulin dependent diabetes mellitus with nephropathy	NIDDM
69278		C109E00	Non-insulin depend diabetes mellitus with diabetic cataract	NIDDM
52303		C109000	Non-insulin-dependent diabetes mellitus with renal comps	NIDDM
24693		C109G00	Non-insulin dependent diabetes mellitus with arthropathy	NIDDM
56803		C107400	NIDDM with peripheral circulatory disorder	NIDDM
17262		C109600	Non-insulin-dependent diabetes mellitus with retinopathy	NIDDM
		C109E00	Non-insulin depend diabetes mellitus with diabetic cataract	NIDDM
		C109H00	Non-insulin dependent d m with neuropathic arthropathy	NIDDM
		C109A00	Non-insulin dependent diabetes mellitus with mononeuropathy	NIDDM
		C109C00	Non-insulin dependent diabetes mellitus with nephropathy	NIDDM
		C109B00	Non-insulin dependent diabetes mellitus with polyneuropathy	NIDDM
		C109200	Non-insulin-dependent diabetes mellitus with neuro comps	NIDDM
		C109100	Non-insulin-dependent diabetes mellitus with ophthalm comps	NIDDM
		C109000	Non-insulin-dependent diabetes mellitus with renal comps	NIDDM
		C109600	Non-insulin-dependent diabetes mellitus with retinopathy	NIDDM
94011		9OLG.00	Attended XPERT diabetes structured education programme	Remove
95159		9NiD.00	Did not attend DESMOND diabetes structured education program	Type2
32193		C11y000	Remove	Remove
9013		66AJ.11	Unstable diabetes	Diabetes
95093		8I83.00	Did not complete DESMOND diabetes structured educat program	Type2
97474		C108412	Unstable type 1 diabetes mellitus	Type1
11551		C10B.00	Remove	Remove
94956		8I84.00	Did not complete XPERT diabetes structured education program	Remove
47011		8Hj0.00	Referral to diabetes structured education programme	Remove
26108		C10B000	Steroid induced diabetes mellitus without complication	DiabetesOther
26605		9OLB.00	Attended diabetes structured education programme	Remove
12682		679R.00	Patient offered diabetes structured education programme	Remove
12703		3881	Education score - diabetes	Remove
94186		9OLF.00	Diabetes structured education programme completed	Remove
43921		C10E400	Unstable type 1 diabetes mellitus	Type1
95094		8I81.00	Did not complete diabetes structured education programme	Remove
95553		9NiA.00	Did not attend diabetes structured education programme	Remove
93854		9OLM.00	Diabetes structured education programme declined	Remove
32619		66Af.00	Patient diabetes education review	Remove
93529		9OLK.00	DESMOND diabetes structured education programme completed	Type2
93657		8Hj4.00	Referral to DESMOND diabetes structured education programme	Type2
94955		9NiE.00	Did not attend XPERT diabetes structured education programme	Remove
93870		8Hj5.00	Referral to XPERT diabetes structured education programme	Remove
		C108412	Unstable type 1 diabetes mellitus	Type1
61122		C10H.00	Diabetes mellitus induced by non-steroid drugs	DiabetesOther
93631		9OLL.00	XPERT diabetes structured education programme completed	Remove
13057		679L.00	Health education - diabetes	Remove
67212		C10H000	DM induced by non-steroid drugs without complication	DiabetesOther
67664		ZRBa.00	Education score - diabetes	Remove
97281		9Nl4.00	Seen by general practitioner special interest in diabetes	Remove
		C10E400	Unstable type 1 diabetes mellitus	Type1
		9OLB.00	Attended diabetes structured education programme	Remove
		9OLG.00	Attended XPERT diabetes structured education programme	Remove
		C108412	Unstable type 1 diabetes mellitus	Type1
		9OLK.00	DESMOND diabetes structured education programme completed	Type2
		2126300	Diabetes resolved	Resolved
		212H.00	Diabetes resolved	Resolved
		9OLF.00	Diabetes structured education programme completed	Remove
		9OLM.00	Diabetes structured education programme declined	Remove
		9NiD.00	Did not attend DESMOND diabetes structured education program	Type2
		9NiA.00	Did not attend diabetes structured education programme	Remove
		9NiE.00	Did not attend XPERT diabetes structured education programme	Remove
49949		C10E411	Unstable type I diabetes mellitus	Type1
		8I83.00	Did not complete DESMOND diabetes structured educat program	Type2
		8I81.00	Did not complete diabetes structured education programme	Remove
		8I84.00	Did not complete XPERT diabetes structured education program	Remove
		3881	Education score - diabetes	Remove
		ZRBa.00	Education score - diabetes	Remove
		679L.00	Health education - diabetes	Remove
		66Af.00	Patient diabetes education review	Remove
		679R.00	Patient offered diabetes structured education programme	Remove
60107		C108411	Unstable type I diabetes mellitus	Type1
		8Hj4.00	Referral to DESMOND diabetes structured education programme	Type2
		8Hj0.00	Referral to diabetes structured education programme	Remove
		8Hj5.00	Referral to XPERT diabetes structured education programme	Remove
		9OLL.00	XPERT diabetes structured education programme completed	Remove
67635		L180000	Diabetes mellitus - unspec whether in pregnancy/puerperium	Diabetes
		C108411	Unstable type I diabetes mellitus	Type1
107414		8I94.00	Diabetes structured education programme not available	Remove
21472		Q441.00	Neonatal diabetes mellitus	DiabetesOther
		C10E411	Unstable type I diabetes mellitus	Type1
107603		C10P.00	Diabetes mellitus in remission	Resolved
		C108411	Unstable type I diabetes mellitus	Type1
95641		8Hj1.00	Family/carer referral to diabetes structured education prog	Remove
	1222529016	R102.11	[D]Prediabetes	Remove
	6.22051E+14	ZV13F00	[V]Personal history of gestational diabetes mellitus	Remove
	1.91652E+15		Access to online patient diabetes education given	Remove
	251884012	14O8.00	At risk of diabetes mellitus	Remove
	1.16332E+16		Atypical diabetes mellitus	Diabetes
	1.70376E+15	8CE0000	Gestational diabetes information leaflet given	Remove
	20191016	L180900	Gestational diabetes mellitus	Gestational
	1.78684E+15		Gestational diabetes mellitus annual review	Gestational
	8.56771E+14		Patient has been told has diabetes	Diabetes
	1.85628E+15		Pre-diabetes	Remove
	2.221E+15	C11y500	Pre-diabetes	Remove
	1.92059E+15		Pre-diabetes structured education programme declined	Remove
	8.0333E+15		Pre-existing diabetes mellitus in childbirth	Diabetes
	8.03329E+15		Pre-existing diabetes mellitus in mother complicating childbirth	Diabetes
	7.50021E+15		Pre-existing diabetes mellitus in pregnancy	Diabetes
	1.98874E+15		Pre-existing type 2 diabetes mellitus in pregnancy	Diabetes
	8.87971E+14	L180.99	Preg.+ diabetes mellitus	Diabetes
	1.71323E+15		QDiabetes (QDScore) type 2 diabetes 10 year risk	Remove
	1.96644E+15	67W1.00	Recommendation self-refer for diabetes structured education	Remove
	1.92058E+15		Referral to pre-diabetes structured education programme	Remove
	1.82457E+15		Referral to walking away from diabetes programme	Type2
	1.82458E+15		Referral to walking away from diabetes programme declined	Type2
	453053017	2BBG.00	Retinal abnormality - non-diabetes	Remove
	1.92066E+15		Unsuitable for DESMOND diabetes structured education programme	Remove
	1488822019	46Z0.00	Urine screening test for diabetes	Remove
	9.6311E+13	Q44y100	Transitory metabolic disturbance-infant pre-diabetic mother	Remove
110087		8OAH.00	Provision of written information about diabetes and high BP	Remove
109744		8OAK.00	Provsn written information about diabetes & high cholesterol	Remove
11359		L180.00	Diabetes mellitus during pregnancy/childbirth/puerperium	Gestational
64384		L180z00	Diabetes mellitus in pregnancy/childbirth/puerperium NOS	Gestational
49559		L180300	Diabetes mellitus during pregnancy - baby not yet delivered	Gestational
95124		9Oy0.00	Diabetes screening invitation	Remove
112237		8OAJ.00	Provision written information abt diabetes & high HbA1c levl	Remove
12677		ZV77100	[V]Screening for diabetes mellitus	Remove
94647		9Oy..00	Diabetes screening administration	Remove
		8A17.00	Self monitoring of blood glucose	Remove
		8A18.00	Self monitoring of urine glucose	Remove
		8A19.00	Self monitoring of blood and urine glucose	Remove
		8A1A.00	Self monitoring urine ketones	Remove
		8CAQ.00	Advice about blood glucose control	Remove
		1I0..00	Diabetes mellitus excluded	Remove
51756		C10FP00	Type 2 diabetes mellitus with ketoacidotic coma	Type2
758		C10F.00	Type 2 diabetes mellitus	Type2
36695		C10D.00	Diabetes mellitus autosomal dominant type 2	Type2
34450		C10FK00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	Type2
45913		C109712	Type 2 diabetes mellitus - poor control	Type2
83532		66Ao.00	Diabetes type 2 review	Type2
46624		C10C.11	Maturity onset diabetes in youth	Type2
47315		C10F711	Type II diabetes mellitus - poor control	Type2
46917		C10FD00	Type 2 diabetes mellitus with hypoglycaemic coma	Type2
32627		C10FN00	Type 2 diabetes mellitus with ketoacidosis	Type2
1407		C10FJ00	Insulin treated Type 2 diabetes mellitus	Type2
25627		C10F700	Type 2 diabetes mellitus - poor control	Type2
18219		C109.13	Type II diabetes mellitus	Type2
24458		C109711	Type II diabetes mellitus - poor control	Type2
37648		C109J11	Insulin treated non-insulin dependent diabetes mellitus	Type2
22884		C10F.11	Type II diabetes mellitus	Type2
47954		C10F900	Type 2 diabetes mellitus without complication	Type2
56268		C109D11	Type II diabetes mellitus with hypoglycaemic coma	Type2
53392		C10F911	Type II diabetes mellitus without complication	Type2
64668		C10FJ11	Insulin treated Type II diabetes mellitus	Type2
98723		C10FD11	Type II diabetes mellitus with hypoglycaemic coma	Type2
17859		C109.12	Type 2 diabetes mellitus	Type2
18264		C109J12	Insulin treated Type II diabetes mellitus	Type2
59991		C10D.11	Maturity onset diabetes in youth type 2	Type2
18278		C109J00	Insulin treated Type 2 diabetes mellitus	Type2
36633		C109K00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	Type2
61071		C109D12	Type 2 diabetes mellitus with hypoglycaemic coma	Type2
25041		ZC2CA00	Dietary advice for type II diabetes	Type2
18777		C10F000	Type 2 diabetes mellitus with renal complications	Type2
49869		C109G12	Type 2 diabetes mellitus with arthropathy	Type2
18425		C10FB00	Type 2 diabetes mellitus with polyneuropathy	Type2
12736		C10F500	Type 2 diabetes mellitus with gangrene	Type2
47816		C109H11	Type II diabetes mellitus with neuropathic arthropathy	Type2
18143		C109G11	Type II diabetes mellitus with arthropathy	Type2
65704		C109412	Type 2 diabetes mellitus with ulcer	Type2
67905		C109211	Type II diabetes mellitus with neurological complications	Type2
18209		C109012	Type 2 diabetes mellitus with renal complications	Type2
25591		C10FQ00	Type 2 diabetes mellitus with exudative maculopathy	Type2
42762		C109612	Type 2 diabetes mellitus with retinopathy	Type2
47321		C10F100	Type 2 diabetes mellitus with ophthalmic complications	Type2
70316		C109112	Type 2 diabetes mellitus with ophthalmic complications	Type2
91646		C10F411	Type II diabetes mellitus with ulcer	Type2
48192		C109E11	Type II diabetes mellitus with diabetic cataract	Type2
24836		C109C12	Type 2 diabetes mellitus with nephropathy	Type2
34268		C10F200	Type 2 diabetes mellitus with neurological complications	Type2
63690		C10FR00	Type 2 diabetes mellitus with gastroparesis	Type2
49074		C10F400	Type 2 diabetes mellitus with ulcer	Type2
62107		C109511	Type II diabetes mellitus with gangrene	Type2
62674		C10FA00	Type 2 diabetes mellitus with mononeuropathy	Type2
59725		C109111	Type II diabetes mellitus with ophthalmic complications	Type2
50813		C109A11	Type II diabetes mellitus with mononeuropathy	Type2
35385		C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
47409		C109B11	Type II diabetes mellitus with polyneuropathy	Type2
95351		C10FA11	Type II diabetes mellitus with mononeuropathy	Type2
55075		C109411	Type II diabetes mellitus with ulcer	Type2
93727		C10FE11	Type II diabetes mellitus with diabetic cataract	Type2
85991		C10FM11	Type II diabetes mellitus with persistent microalbuminuria	Type2
12640		C10FC00	Type 2 diabetes mellitus with nephropathy	Type2
18496		C10F600	Type 2 diabetes mellitus with retinopathy	Type2
50225		C109011	Type II diabetes mellitus with renal complications	Type2
44779		C109E12	Type 2 diabetes mellitus with diabetic cataract	Type2
44982		C10FE00	Type 2 diabetes mellitus with diabetic cataract	Type2
39317		C106100	"Diabetes mellitus, adult onset, + neurological manifestation"	Type2
49655		C10F611	Type II diabetes mellitus with retinopathy	Type2
43227		C10F311	Type II diabetes mellitus with multiple complications	Type2
64571		C109C11	Type II diabetes mellitus with nephropathy	Type2
57278		C10F011	Type II diabetes mellitus with renal complications	Type2
98616		C10F211	Type II diabetes mellitus with neurological complications	Type2
46150		C109512	Type 2 diabetes mellitus with gangrene	Type2
18390		C10FM00	Type 2 diabetes mellitus with persistent microalbuminuria	Type2
66965		C109H12	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
65267		C10F300	Type 2 diabetes mellitus with multiple complications	Type2
59253		C10FG00	Type 2 diabetes mellitus with arthropathy	Type2
60699		C109F12	Type 2 diabetes mellitus with peripheral angiopathy	Type2
37806		C10FF00	Type 2 diabetes mellitus with peripheral angiopathy	Type2
26054		C10FL00	Type 2 diabetes mellitus with persistent proteinuria	Type2
58604		C109611	Type II diabetes mellitus with retinopathy	Type2
54899		C109F11	Type II diabetes mellitus with peripheral angiopathy	Type2
50527		C10FB11	Type II diabetes mellitus with polyneuropathy	Type2
60796		C10FL11	Type II diabetes mellitus with persistent proteinuria	Type2
		C109K00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	Type2
		C10FK00	Hyperosmolar non-ketotic state in type 2 diabetes mellitus	Type2
		C109J00	Insulin treated Type 2 diabetes mellitus	Type2
		C10FJ00	Insulin treated Type 2 diabetes mellitus	Type2
		C109J12	Insulin treated Type II diabetes mellitus	Type2
		C10FJ11	Insulin treated Type II diabetes mellitus	Type2
		C109.12	Type 2 diabetes mellitus	Type2
		C10F.00	Type 2 diabetes mellitus	Type2
		C109712	Type 2 diabetes mellitus - poor control	Type2
		C10F700	Type 2 diabetes mellitus - poor control	Type2
		C109G12	Type 2 diabetes mellitus with arthropathy	Type2
		C10FG00	Type 2 diabetes mellitus with arthropathy	Type2
		C109E12	Type 2 diabetes mellitus with diabetic cataract	Type2
		C10FE00	Type 2 diabetes mellitus with diabetic cataract	Type2
		C109E12	Type 2 diabetes mellitus with diabetic cataract	Type2
		C10FE00	Type 2 diabetes mellitus with diabetic cataract	Type2
		C10FQ00	Type 2 diabetes mellitus with exudative maculopathy	Type2
		C10FQ00	Type 2 diabetes mellitus with exudative maculopathy	Type2
		C109512	Type 2 diabetes mellitus with gangrene	Type2
		C10F500	Type 2 diabetes mellitus with gangrene	Type2
		C10FR00	Type 2 diabetes mellitus with gastroparesis	Type2
		C10FR00	Type 2 diabetes mellitus with gastroparesis	Type2
		C109D12	Type 2 diabetes mellitus with hypoglycaemic coma	Type2
		C10FD00	Type 2 diabetes mellitus with hypoglycaemic coma	Type2
		C10FN00	Type 2 diabetes mellitus with ketoacidosis	Type2
		C10FP00	Type 2 diabetes mellitus with ketoacidotic coma	Type2
		C10FA00	Type 2 diabetes mellitus with mononeuropathy	Type2
		C10FA00	Type 2 diabetes mellitus with mononeuropathy	Type2
		C10F300	Type 2 diabetes mellitus with multiple complications	Type2
		C109C12	Type 2 diabetes mellitus with nephropathy	Type2
		C10FC00	Type 2 diabetes mellitus with nephropathy	Type2
		C109C12	Type 2 diabetes mellitus with nephropathy	Type2
		C10FC00	Type 2 diabetes mellitus with nephropathy	Type2
		C109212	Type 2 diabetes mellitus with neurological complications	Type2
		C10F200	Type 2 diabetes mellitus with neurological complications	Type2
		C109212	Type 2 diabetes mellitus with neurological complications	Type2
		C10F200	Type 2 diabetes mellitus with neurological complications	Type2
		C109H12	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
		C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
		C109H12	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
		C10FH00	Type 2 diabetes mellitus with neuropathic arthropathy	Type2
		C109112	Type 2 diabetes mellitus with ophthalmic complications	Type2
		C10F100	Type 2 diabetes mellitus with ophthalmic complications	Type2
		C109112	Type 2 diabetes mellitus with ophthalmic complications	Type2
		C10F100	Type 2 diabetes mellitus with ophthalmic complications	Type2
		C109F12	Type 2 diabetes mellitus with peripheral angiopathy	Type2
		C10FF00	Type 2 diabetes mellitus with peripheral angiopathy	Type2
		C10FM00	Type 2 diabetes mellitus with persistent microalbuminuria	Type2
		C10FM00	Type 2 diabetes mellitus with persistent microalbuminuria	Type2
		C10FL00	Type 2 diabetes mellitus with persistent proteinuria	Type2
		C10FL00	Type 2 diabetes mellitus with persistent proteinuria	Type2
		C10FB00	Type 2 diabetes mellitus with polyneuropathy	Type2
		C10FB00	Type 2 diabetes mellitus with polyneuropathy	Type2
		C109012	Type 2 diabetes mellitus with renal complications	Type2
		C10F000	Type 2 diabetes mellitus with renal complications	Type2
		C109012	Type 2 diabetes mellitus with renal complications	Type2
		C10F000	Type 2 diabetes mellitus with renal complications	Type2
		C109612	Type 2 diabetes mellitus with retinopathy	Type2
		C10F600	Type 2 diabetes mellitus with retinopathy	Type2
		C109612	Type 2 diabetes mellitus with retinopathy	Type2
		C10F600	Type 2 diabetes mellitus with retinopathy	Type2
		C109412	Type 2 diabetes mellitus with ulcer	Type2
		C10F400	Type 2 diabetes mellitus with ulcer	Type2
		C10F900	Type 2 diabetes mellitus without complication	Type2
		C108.13	Type I diabetes mellitus	Type2
		C109.13	Type II diabetes mellitus	Type2
		C10F.11	Type II diabetes mellitus	Type2
		C109711	Type II diabetes mellitus - poor control	Type2
		C10F711	Type II diabetes mellitus - poor control	Type2
		C109G11	Type II diabetes mellitus with arthropathy	Type2
		C109E11	Type II diabetes mellitus with diabetic cataract	Type2
		C10FE11	Type II diabetes mellitus with diabetic cataract	Type2
		C109E11	Type II diabetes mellitus with diabetic cataract	Type2
		C10FE11	Type II diabetes mellitus with diabetic cataract	Type2
		C109511	Type II diabetes mellitus with gangrene	Type2
		C109D11	Type II diabetes mellitus with hypoglycaemic coma	Type2
		C10FD11	Type II diabetes mellitus with hypoglycaemic coma	Type2
		C109A11	Type II diabetes mellitus with mononeuropathy	Type2
		C10FA11	Type II diabetes mellitus with mononeuropathy	Type2
		C109A11	Type II diabetes mellitus with mononeuropathy	Type2
		C10FA11	Type II diabetes mellitus with mononeuropathy	Type2
		C10F311	Type II diabetes mellitus with multiple complications	Type2
		C109C11	Type II diabetes mellitus with nephropathy	Type2
		C109C11	Type II diabetes mellitus with nephropathy	Type2
		C109211	Type II diabetes mellitus with neurological complications	Type2
		C10F211	Type II diabetes mellitus with neurological complications	Type2
		C109211	Type II diabetes mellitus with neurological complications	Type2
		C10F211	Type II diabetes mellitus with neurological complications	Type2
		C109H11	Type II diabetes mellitus with neuropathic arthropathy	Type2
		C109H11	Type II diabetes mellitus with neuropathic arthropathy	Type2
		C109111	Type II diabetes mellitus with ophthalmic complications	Type2
		C109111	Type II diabetes mellitus with ophthalmic complications	Type2
		C109F11	Type II diabetes mellitus with peripheral angiopathy	Type2
		C10FM11	Type II diabetes mellitus with persistent microalbuminuria	Type2
		C10FM11	Type II diabetes mellitus with persistent microalbuminuria	Type2
		C10FL11	Type II diabetes mellitus with persistent proteinuria	Type2
		C10FL11	Type II diabetes mellitus with persistent proteinuria	Type2
		C109B11	Type II diabetes mellitus with polyneuropathy	Type2
		C10FB11	Type II diabetes mellitus with polyneuropathy	Type2
		C109B11	Type II diabetes mellitus with polyneuropathy	Type2
		C10FB11	Type II diabetes mellitus with polyneuropathy	Type2
		C109011	Type II diabetes mellitus with renal complications	Type2
		C10F011	Type II diabetes mellitus with renal complications	Type2
		C109011	Type II diabetes mellitus with renal complications	Type2
		C10F011	Type II diabetes mellitus with renal complications	Type2
		C109611	Type II diabetes mellitus with retinopathy	Type2
		C10F611	Type II diabetes mellitus with retinopathy	Type2
		C109611	Type II diabetes mellitus with retinopathy	Type2
		C10F611	Type II diabetes mellitus with retinopathy	Type2
		C109411	Type II diabetes mellitus with ulcer	Type2
		C10F411	Type II diabetes mellitus with ulcer	Type2
		C10F911	Type II diabetes mellitus without complication	Type2
109103		C109911	Type II diabetes mellitus without complication	Type2
105784		C109912	Type 2 diabetes mellitus without complication	Type2
101801		66At100	Type II diabetic dietary review	Type2
107701		C10FK11	Hyperosmolar non-ketotic state in type II diabetes mellitus	Type2
102611		66At111	Type 2 diabetic dietary review	Type2
106061		C10FP11	Type II diabetes mellitus with ketoacidotic coma	Type2
303250		250 A	SUGAR DIABETES	Type2
107824		C10P100	Type II diabetes mellitus in remission	Type2
106528		C10FN11	Type II diabetes mellitus with ketoacidosis	Type2
103902		C10FG11	Type II diabetes mellitus with arthropathy	Type2
104639		C10FF11	Type II diabetes mellitus with peripheral angiopathy	Type2
100964		C10F111	Type II diabetes mellitus with ophthalmic complications	Type2
102201		C10FC11	Type II diabetes mellitus with nephropathy	Type2
104323		C10F511	Type II diabetes mellitus with gangrene	Type2
108005		C109312	Type 2 diabetes mellitus with multiple complications	Type2
109197		C10FH11	Type II diabetes mellitus with neuropathic arthropathy	Type2
	7.96693E+15		Angina associated with type 2 diabetes mellitus	Type2
	7.96694E+15		Angina associated with type II diabetes mellitus	Type2
	7.96695E+15		Diabetic angina pectoris associated with type 2 diabetes mellitus	Type2
	2.28807E+15	C10P111	Type 2 diabetes mellitus in remission	Type2
	8.4531E+13	C109A12	Type 2 diabetes mellitus with mononeuropathy	Type2
	8.4601E+13	C109B12	Type 2 diabetes mellitus with polyneuropathy	Type2
	9.38331E+14	C10FQ11	Type II diabetes mellitus with exudative maculopathy	Type2
	1.66792E+15	C10FR11	Type II diabetes mellitus with gastroparesis	Type2
	8.4911E+13	C109311	Type II diabetes mellitus with multiple complications	Type2
